"Index","score"
01,-1.84826403889
02,-1.73089436664
03,-1.70271115197
04,-1.83622849888
05,-1.93875699245
06,-1.91557052116
07,-1.86516831148
08,-1.5166011689
09,-2.19915306655
10,-2.26263848815
11,-1.80382801742
12,-1.98714331842
13,-1.73748059475
14,-1.89648144763
15,-1.72506238529
16,-2.02278300522
17,-1.71905577324
18,-1.42730019785
19,-2.39953974633
20,-1.82605971904
21,-1.80939308375
22,-1.79064932489
23,-2.21510909882
24,-1.5271410618
25,-2.02396934885
26,-1.79555980409
27,-1.8510339151
28,-1.74451498064
29,-1.77922083906
30,-2.12857337705
31,-1.87617743701
