"Index","score"
01,-270.138052571
02,-255.718962376
03,-177.013814142
04,-260.734702338
05,-195.520686184
06,-166.816373685
07,-273.076092027
08,-227.627691795
09,-203.751917787
10,-286.344951724
11,-219.762999973
12,-127.30841061
13,-197.512172652
14,-205.948933415
15,-233.802484895
16,-230.523804421
17,-135.295204622
18,-146.941777823
19,-246.322566216
20,-175.646115438
21,-243.330375095
22,-224.459061245
23,-277.827318742
24,-165.402320276
25,-217.407102431
26,-220.607122332
27,-184.150682995
28,-229.648193742
29,-245.090341493
30,-242.592309663
31,-194.730045617
