# Voltage [mV]	Duration [ms]
 3.76998708879507660e+01	 7.95279824443610323e+02
-1.19867466017164190e+02	 2.61021749824517144e+02
-3.65569800765154014e+01	 7.35359836119270540e+02
 4.10008934362292052e+01	 2.30508166743888921e+02
-4.53299251186322039e+01	 8.14992576586563246e+02
-6.54330717311940475e+01	 5.01627758977056146e+01
-1.19999999995841833e+02	 5.30032619112844941e+02
 5.99999999976753315e+01	 4.58845525264397850e+02
-1.19999999999480451e+02	 7.14241187602764739e+02
-1.89762049666107657e+01	 9.99999722667259789e+02
 2.02013995778011690e+01	 4.85013143720435323e+02
-6.41172585113627633e+01	 9.99992808651079599e+02
 5.04165443987598678e+01	 9.47442752925605191e+02
-3.41013877461502375e+01	 3.62202296487323736e+02
-3.65200880047992200e+01	 9.91338996289916395e+02
-4.73228335252570531e+01	 9.99999999993132178e+02
-3.08487592454168578e+01	 9.99500000048560878e+02
-7.28674923542287445e+01	 5.00907787637479487e+01
 5.88454169386348553e+01	 6.49774885476291274e+02
-1.19999999999882675e+02	 4.70673559845182581e+02
-4.17017324041720769e+01	 7.62037741656282947e+02
-4.69562608786594069e+01	 9.99999999999869146e+02
 3.53943962072968361e+01	 5.00000000629286063e+01
 8.10243074260432650e+00	 5.00291475141568753e+01
 5.07849077358766294e+01	 9.13797436848071584e+02
-3.21096079522442039e+01	 3.75728671256370887e+02
-1.19999999999609486e+02	 2.50530926997102995e+02
-2.91558561929853681e+01	 5.00227041014122804e+01
 1.81036831084418282e+00	 9.99977295918278401e+02
-3.00905886862461216e+01	 9.99999999983798034e+02
-4.68258464408684745e+01	 5.75966806164183481e+02
 4.63968863289665592e+01	 9.04909014710191286e+02
-3.49266852006341537e+01	 7.82648805113423691e+02
-1.78391921066684347e+01	 9.99999999998461135e+02
-8.18244512544055169e-02	 9.99999999992258950e+02
 1.53016666793365630e+01	 5.00000000001994067e+01
 5.03952328767289828e+01	 9.12879226370225183e+02
-3.48951016414648620e+01	 8.34619630660619578e+02
-3.88781941209993107e+01	 8.18132359703256839e+02
-1.15616345786069658e+02	 5.04999999999182023e+01
 5.05349093164647343e+01	 1.14572856332142408e+02
-9.81193205292007775e+01	 3.23660471579058481e+02
 5.99999999973411491e+01	 5.12381643668672041e+02
-1.19999999998809855e+02	 9.80127819407641937e+02
-3.70756514511620594e+01	 9.89390404259141860e+01
