Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	58.6	229.0
Set	-97.5	93.0
Set	16.7	38.0
Set	-92.3	119.0
Set	44.9	156.0
Set	-111.2	515.0
Set	-19.3	171.0
Set	55.1	311.0
Set	-75.0	759.0
Set	38.6	706.0
Set	-47.0	385.0
Set	-69.4	919.0
Set	59.8	101.0
Set	-102.2	29.0
Set	-29.4	30.0
Set	-100.1	88.0
Set	26.4	1135.0
Set	-77.7	510.0
Set	14.8	668.0
Set	-56.0	116.0
Set	-97.5	1128.0
Set	-8.2	320.0
Set	34.6	432.0
Set	-97.1	295.0
Set	29.9	524.0
Set	-50.0	808.0
Set	59.6	986.0
Set	-100.3	22.0
Set	48.7	46.0
Set	-26.7	36.0
Set	-118.6	25.0
Set	4.6	21.0
Set	-96.2	109.0
Set	-6.0	22.0
Set	23.9	21.0
Set	-102.6	21.0
Set	-8.3	499.0
Set	-90.2	28.0
Set	-36.7	112.0
Set	-2.1	39.0
Set	42.1	269.0
Set	-57.0	47.0
Set	37.9	34.0
Set	-48.6	23.0
Set	23.2	139.0
Set	36.2	20.0
Set	-119.5	22.0
Set	-11.5	20.0
Set	-98.6	52.0
Set	-30.2	432.0
Set	41.4	117.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
