Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-14.5	36.0
Set	46.3	853.0
Set	-97.0	240.0
Set	60.0	212.0
Set	-75.0	221.0
Set	-42.7	589.0
Set	-108.6	21.0
Set	-53.1	32.0
Set	-116.5	65.0
Set	-10.2	61.0
Set	37.4	564.0
Set	-79.5	384.0
Set	47.2	239.0
Set	-104.5	74.0
Set	-43.5	327.0
Set	49.0	815.0
Set	-51.9	621.0
Set	-69.9	680.0
Set	16.3	1092.0
Set	-99.0	33.0
Set	8.0	45.0
Set	-88.4	70.0
Set	-11.2	156.0
Set	-84.9	43.0
Set	37.2	415.0
Set	-42.7	659.0
Set	-82.2	309.0
Set	8.4	806.0
Set	-63.7	217.0
Set	-44.7	628.0
Set	-67.8	91.0
Set	-52.4	22.0
Set	-109.7	20.0
Set	-16.8	20.0
Set	-103.3	20.0
Set	-46.3	20.0
Set	-58.2	103.0
Set	58.9	134.0
Set	-53.0	289.0
Set	-23.7	21.0
Set	-3.1	22.0
Set	-112.5	20.0
Set	16.9	100.0
Set	-103.4	20.0
Set	58.1	23.0
Set	-94.7	32.0
Set	21.0	20.0
Set	12.3	20.0
Set	-73.2	167.0
Set	-1.0	20.0
Set	-32.5	20.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
