Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	57.5	170.0
Set	-86.7	322.0
Set	-12.9	20.0
Set	60.0	123.0
Set	-68.8	171.0
Set	-115.9	89.0
Set	59.1	141.0
Set	-52.5	265.0
Set	-82.0	365.0
Set	59.9	150.0
Set	-74.9	297.0
Set	-27.8	23.0
Set	-99.3	100.0
Set	27.2	438.0
Set	-92.5	366.0
Set	48.2	1021.0
Set	-97.4	89.0
Set	-45.2	3057.0
Set	24.8	684.0
Set	-61.2	902.0
Set	-109.0	84.0
Set	46.1	117.0
Set	-52.5	659.0
Set	58.4	193.0
Set	-29.1	510.0
Set	-98.0	46.0
Set	-20.4	21.0
Set	-118.6	22.0
Set	-74.7	121.0
Set	-22.5	20.0
Set	51.3	36.0
Set	-88.4	21.0
Set	-0.9	20.0
Set	-90.1	58.0
Set	25.6	539.0
Set	-41.7	80.0
Set	56.6	25.0
Set	-119.3	20.0
Set	57.4	20.0
Set	-101.6	25.0
Set	32.9	242.0
Set	-97.1	939.0
Set	58.3	391.0
Set	-114.6	84.0
Set	-50.0	606.0
Set	54.2	452.0
Set	-92.6	108.0
Set	-1.6	870.0
Set	59.7	155.0
Set	-88.1	22.0
Set	9.0	24.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
