Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.9	144.0
Set	-81.1	108.0
Set	-112.8	107.0
Set	59.9	218.0
Set	-75.0	473.0
Set	56.6	23.0
Set	-100.1	33.0
Set	60.0	171.0
Set	-97.5	192.0
Set	15.3	729.0
Set	-95.2	118.0
Set	-57.0	56.0
Set	59.7	126.0
Set	-52.5	957.0
Set	-80.4	504.0
Set	30.8	697.0
Set	-60.1	583.0
Set	-17.0	347.0
Set	-73.8	98.0
Set	-4.8	21.0
Set	-110.8	20.0
Set	20.5	22.0
Set	59.9	48.0
Set	-94.8	176.0
Set	45.1	724.0
Set	-106.8	108.0
Set	-28.7	216.0
Set	59.1	127.0
Set	-30.0	927.0
Set	-57.2	893.0
Set	48.3	364.0
Set	-107.1	36.0
Set	-19.7	212.0
Set	-114.4	49.0
Set	-52.0	23.0
Set	-108.6	652.0
Set	37.4	561.0
Set	-104.3	36.0
Set	51.2	289.0
Set	-99.3	32.0
Set	34.5	24.0
Set	-23.4	23.0
Set	-109.7	31.0
Set	30.8	161.0
Set	-49.6	308.0
Set	14.9	20.0
Set	-66.7	21.0
Set	2.2	20.0
Set	57.4	263.0
Set	-97.4	45.0
Set	5.5	573.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
