Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-5.8	22.0
Set	43.0	792.0
Set	-97.0	401.0
Set	60.0	136.0
Set	-34.6	879.0
Set	-117.5	86.0
Set	43.1	580.0
Set	-74.7	464.0
Set	40.2	21.0
Set	-100.7	72.0
Set	50.1	185.0
Set	-80.7	274.0
Set	32.5	659.0
Set	-68.9	844.0
Set	-75.3	608.0
Set	60.0	108.0
Set	-102.3	25.0
Set	3.8	20.0
Set	-54.1	63.0
Set	-101.9	24.0
Set	-36.1	33.0
Set	59.6	188.0
Set	-50.8	793.0
Set	15.2	226.0
Set	-95.5	48.0
Set	11.5	161.0
Set	40.2	82.0
Set	-100.2	30.0
Set	-17.4	20.0
Set	-83.7	20.0
Set	-18.2	20.0
Set	-83.7	88.0
Set	-16.7	20.0
Set	-110.0	26.0
Set	-1.7	21.0
Set	-116.1	22.0
Set	37.0	920.0
Set	-90.4	32.0
Set	-16.5	893.0
Set	59.8	114.0
Set	-101.2	21.0
Set	54.1	20.0
Set	-102.6	145.0
Set	-44.1	382.0
Set	55.5	378.0
Set	-89.9	26.0
Set	32.9	55.0
Set	-29.6	205.0
Set	26.5	140.0
Set	-110.4	37.0
Set	26.6	1009.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
