Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	40.0	841.0
Set	-63.0	773.0
Set	-117.9	163.0
Set	59.8	174.0
Set	22.1	46.0
Set	-97.0	214.0
Set	32.9	409.0
Set	-106.1	29.0
Set	25.1	20.0
Set	-86.8	23.0
Set	59.9	56.0
Set	-76.9	156.0
Set	-6.0	20.0
Set	-74.3	37.0
Set	-10.6	20.0
Set	-75.0	164.0
Set	55.0	160.0
Set	-47.5	25.0
Set	-7.8	38.0
Set	-74.4	213.0
Set	-42.7	367.0
Set	-52.5	483.0
Set	-85.0	33.0
Set	5.5	20.0
Set	-105.5	27.0
Set	-58.6	32.0
Set	-114.2	20.0
Set	14.1	108.0
Set	-90.5	20.0
Set	-49.1	20.0
Set	59.9	103.0
Set	-101.7	20.0
Set	15.1	20.0
Set	-87.8	61.0
Set	15.4	272.0
Set	-114.0	169.0
Set	34.7	892.0
Set	-83.5	87.0
Set	46.6	444.0
Set	-100.2	23.0
Set	-3.3	23.0
Set	21.0	26.0
Set	-55.8	421.0
Set	-95.3	29.0
Set	-8.4	32.0
Set	-101.6	33.0
Set	-20.7	20.0
Set	-64.9	20.0
Set	50.5	585.0
Set	-97.4	115.0
Set	3.7	658.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
