Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	55.9	723.0
Set	-52.9	882.0
Set	-115.4	173.0
Set	9.7	51.0
Set	53.9	406.0
Set	-97.0	212.0
Set	54.0	187.0
Set	-26.5	29.0
Set	-82.5	401.0
Set	37.1	389.0
Set	-97.8	60.0
Set	0.6	204.0
Set	-87.1	23.0
Set	49.8	112.0
Set	-74.9	548.0
Set	13.4	237.0
Set	19.0	332.0
Set	-67.5	566.0
Set	37.4	600.0
Set	-52.5	566.0
Set	-16.2	20.0
Set	-103.1	42.0
Set	20.2	30.0
Set	-100.1	21.0
Set	-50.3	26.0
Set	-56.9	408.0
Set	-104.6	21.0
Set	35.5	816.0
Set	-102.8	85.0
Set	-9.3	116.0
Set	46.8	102.0
Set	-84.6	54.0
Set	34.8	449.0
Set	-42.3	1639.0
Set	-97.3	48.0
Set	-23.1	811.0
Set	-97.2	58.0
Set	-33.4	46.0
Set	52.3	60.0
Set	45.3	283.0
Set	-101.0	44.0
Set	-17.5	301.0
Set	25.4	80.0
Set	-97.6	41.0
Set	-43.7	423.0
Set	43.4	478.0
Set	-69.9	252.0
Set	31.2	864.0
Set	16.3	98.0
Set	-75.6	47.0
Set	51.9	339.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
