Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	50.5	336.0
Set	-97.3	89.0
Set	-12.7	20.0
Set	-88.5	67.0
Set	18.8	804.0
Set	-114.3	166.0
Set	59.0	149.0
Set	-60.5	438.0
Set	-97.5	120.0
Set	57.5	144.0
Set	-52.4	496.0
Set	-75.0	465.0
Set	34.7	711.0
Set	-113.5	31.0
Set	-9.7	299.0
Set	-70.0	33.0
Set	12.2	79.0
Set	-98.1	21.0
Set	45.5	168.0
Set	-85.9	59.0
Set	33.7	25.0
Set	-97.5	76.0
Set	-42.7	32.0
Set	-109.7	21.0
Set	0.3	177.0
Set	-86.8	144.0
Set	-23.3	455.0
Set	-106.3	33.0
Set	54.6	20.0
Set	-60.0	169.0
Set	59.9	153.0
Set	-74.2	29.0
Set	5.3	20.0
Set	-29.5	933.0
Set	-105.9	35.0
Set	38.0	29.0
Set	-91.2	80.0
Set	-19.0	493.0
Set	-115.6	1007.0
Set	59.9	218.0
Set	-99.5	54.0
Set	-42.1	799.0
Set	-101.5	105.0
Set	14.5	36.0
Set	33.7	754.0
Set	56.3	45.0
Set	-75.8	25.0
Set	28.7	26.0
Set	-20.5	364.0
Set	-98.9	26.0
Set	13.1	21.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
