Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	60.0	142.0
Set	-69.5	844.0
Set	-106.3	58.0
Set	-11.6	33.0
Set	48.8	584.0
Set	-97.0	689.0
Set	33.6	752.0
Set	-79.1	398.0
Set	-49.8	257.0
Set	50.5	99.0
Set	-104.2	32.0
Set	-33.0	35.0
Set	-106.3	62.0
Set	11.5	228.0
Set	-79.6	153.0
Set	58.2	594.0
Set	-71.3	462.0
Set	-24.4	110.0
Set	17.1	617.0
Set	-96.7	38.0
Set	59.1	720.0
Set	-47.8	351.0
Set	-98.5	151.0
Set	-28.1	457.0
Set	58.8	96.0
Set	-41.3	336.0
Set	-56.1	526.0
Set	58.4	144.0
Set	-99.3	31.0
Set	59.8	382.0
Set	-28.0	886.0
Set	-119.4	20.0
Set	-16.4	221.0
Set	-106.3	58.0
Set	54.5	586.0
Set	-107.9	146.0
Set	59.0	123.0
Set	-101.0	21.0
Set	37.2	20.0
Set	-102.3	46.0
Set	37.7	182.0
Set	-27.8	849.0
Set	-43.9	44.0
Set	-93.5	37.0
Set	16.7	107.0
Set	-42.7	179.0
Set	-97.3	102.0
Set	-8.0	250.0
Set	26.4	93.0
Set	-101.3	20.0
Set	26.8	27.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
