Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	57.7	464.0
Set	24.5	104.0
Set	-97.0	220.0
Set	42.3	440.0
Set	-72.6	297.0
Set	-107.0	328.0
Set	52.7	234.0
Set	-49.5	20.0
Set	-82.0	433.0
Set	34.7	622.0
Set	-98.0	55.0
Set	40.3	336.0
Set	-68.0	241.0
Set	0.1	199.0
Set	-69.9	602.0
Set	60.0	209.0
Set	-74.9	27.0
Set	27.5	20.0
Set	-52.5	636.0
Set	35.6	42.0
Set	-107.4	948.0
Set	54.9	69.0
Set	-98.9	27.0
Set	-23.9	62.0
Set	-85.7	101.0
Set	-22.5	153.0
Set	-98.5	221.0
Set	27.6	613.0
Set	-86.6	85.0
Set	39.8	60.0
Set	-101.3	27.0
Set	7.5	314.0
Set	-69.6	492.0
Set	54.0	115.0
Set	-86.5	41.0
Set	-26.1	670.0
Set	-42.3	36.0
Set	-97.5	34.0
Set	-34.3	33.0
Set	29.8	22.0
Set	-118.6	24.0
Set	27.4	107.0
Set	-97.5	43.0
Set	-34.3	114.0
Set	42.0	82.0
Set	58.5	202.0
Set	-101.3	21.0
Set	11.1	56.0
Set	-118.9	56.0
Set	-43.9	1007.0
Set	-55.5	434.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
