Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	57.8	140.0
Set	-24.9	112.0
Set	-111.8	150.0
Set	-105.4	26.0
Set	59.6	96.0
Set	-97.3	110.0
Set	53.2	240.0
Set	-97.2	98.0
Set	-12.2	80.0
Set	-97.8	33.0
Set	6.1	63.0
Set	-96.4	101.0
Set	59.2	60.0
Set	-105.4	23.0
Set	-36.2	105.0
Set	32.5	179.0
Set	-74.9	416.0
Set	-24.1	132.0
Set	-73.8	58.0
Set	-7.7	199.0
Set	-106.7	20.0
Set	33.4	223.0
Set	-96.0	53.0
Set	-42.7	46.0
Set	-100.2	20.0
Set	36.4	118.0
Set	-67.0	27.0
Set	56.0	146.0
Set	-70.1	81.0
Set	-37.9	226.0
Set	58.7	65.0
Set	-100.8	21.0
Set	-13.0	20.0
Set	29.6	21.0
Set	-114.8	23.0
Set	23.2	24.0
Set	-104.8	20.0
Set	9.1	65.0
Set	-81.6	245.0
Set	-41.7	20.0
Set	-112.1	23.0
Set	-39.6	21.0
Set	46.5	248.0
Set	-74.5	154.0
Set	1.7	250.0
Set	41.8	23.0
Set	-94.7	20.0
Set	-11.6	21.0
Set	-73.4	69.0
Set	-31.0	23.0
Set	-60.0	21.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
