Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.5	148.0
Set	-80.5	171.0
Set	-115.3	79.0
Set	-15.0	21.0
Set	59.9	207.0
Set	-97.3	193.0
Set	55.9	921.0
Set	-69.9	512.0
Set	-88.3	174.0
Set	8.9	617.0
Set	59.4	83.0
Set	-102.4	35.0
Set	11.9	226.0
Set	-82.9	72.0
Set	-40.8	134.0
Set	-75.0	127.0
Set	37.2	543.0
Set	-49.5	1671.0
Set	-13.0	20.0
Set	9.1	141.0
Set	-102.1	20.0
Set	1.7	250.0
Set	-78.3	324.0
Set	-106.5	277.0
Set	40.4	273.0
Set	-101.8	20.0
Set	-28.2	23.0
Set	59.8	335.0
Set	-94.5	193.0
Set	-58.3	864.0
Set	60.0	69.0
Set	-87.1	26.0
Set	-22.8	20.0
Set	-74.6	20.0
Set	32.8	20.0
Set	45.3	20.0
Set	-48.4	112.0
Set	56.6	73.0
Set	-53.8	20.0
Set	17.7	717.0
Set	-29.8	145.0
Set	14.7	24.0
Set	40.1	117.0
Set	-75.0	300.0
Set	12.6	20.0
Set	25.9	167.0
Set	-100.7	56.0
Set	-51.7	1300.0
Set	-69.3	20.0
Set	49.0	22.0
Set	-99.0	20.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
