Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.8	143.0
Set	-59.7	361.0
Set	-116.9	881.0
Set	55.0	155.0
Set	-95.4	71.0
Set	44.7	235.0
Set	-49.7	708.0
Set	-23.3	33.0
Set	-82.6	840.0
Set	54.2	465.0
Set	-96.7	127.0
Set	3.7	446.0
Set	-82.4	216.0
Set	59.9	152.0
Set	-74.5	1430.0
Set	32.5	430.0
Set	-66.6	430.0
Set	-17.5	250.0
Set	-105.0	24.0
Set	-41.6	274.0
Set	-117.2	20.0
Set	47.6	291.0
Set	-114.6	96.0
Set	36.1	590.0
Set	-28.4	763.0
Set	-100.1	44.0
Set	7.8	472.0
Set	-102.0	50.0
Set	-38.0	125.0
Set	-80.3	311.0
Set	51.3	530.0
Set	-1.2	228.0
Set	-97.4	971.0
Set	-28.5	183.0
Set	28.5	403.0
Set	-101.9	342.0
Set	59.9	205.0
Set	-99.1	84.0
Set	-14.4	103.0
Set	-91.4	74.0
Set	12.8	306.0
Set	-41.9	476.0
Set	-73.3	93.0
Set	26.9	496.0
Set	-89.4	402.0
Set	59.0	117.0
Set	-101.7	20.0
Set	40.4	20.0
Set	-73.6	71.0
Set	22.0	1218.0
Set	-41.1	748.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
