Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-8.7	20.0
Set	60.0	205.0
Set	-97.5	193.0
Set	56.6	157.0
Set	-69.0	177.0
Set	-112.0	110.0
Set	51.3	243.0
Set	-44.1	20.0
Set	-82.4	405.0
Set	27.6	503.0
Set	-84.9	105.0
Set	-50.9	659.0
Set	46.9	1090.0
Set	-72.8	482.0
Set	-7.1	430.0
Set	-85.2	81.0
Set	7.9	246.0
Set	-98.9	306.0
Set	55.5	87.0
Set	-59.0	269.0
Set	27.0	22.0
Set	33.7	30.0
Set	-118.2	28.0
Set	-28.8	26.0
Set	46.8	78.0
Set	-42.7	629.0
Set	-68.7	660.0
Set	56.8	138.0
Set	-101.3	20.0
Set	59.8	174.0
Set	-101.4	51.0
Set	-18.8	26.0
Set	-96.1	142.0
Set	-17.3	81.0
Set	-100.3	22.0
Set	-51.3	20.0
Set	47.0	169.0
Set	-110.2	25.0
Set	-1.3	35.0
Set	59.6	179.0
Set	-101.9	20.0
Set	-8.2	34.0
Set	56.9	20.0
Set	-46.1	285.0
Set	22.7	22.0
Set	-74.6	203.0
Set	-25.3	56.0
Set	-104.3	20.0
Set	47.4	820.0
Set	-101.7	20.0
Set	0.0	26.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
