Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	49.1	307.0
Set	-80.0	106.0
Set	-117.9	78.0
Set	59.8	136.0
Set	-69.2	263.0
Set	-97.1	128.0
Set	35.2	1518.0
Set	-95.1	63.0
Set	-39.1	344.0
Set	-83.0	113.0
Set	-21.9	199.0
Set	-104.4	97.0
Set	59.9	160.0
Set	-48.8	24.0
Set	-74.1	689.0
Set	14.6	725.0
Set	-64.5	233.0
Set	-89.4	330.0
Set	43.3	459.0
Set	-21.6	432.0
Set	-119.2	104.0
Set	41.6	193.0
Set	-52.4	751.0
Set	-109.8	843.0
Set	40.3	280.0
Set	-103.6	28.0
Set	43.6	21.0
Set	48.3	257.0
Set	-99.3	31.0
Set	-8.4	927.0
Set	-97.4	73.0
Set	-5.0	20.0
Set	-56.9	178.0
Set	20.8	55.0
Set	-83.8	42.0
Set	51.3	22.0
Set	-98.8	37.0
Set	-27.0	24.0
Set	-81.3	113.0
Set	-20.8	22.0
Set	-100.5	20.0
Set	-43.0	27.0
Set	59.6	242.0
Set	-114.5	25.0
Set	-1.3	29.0
Set	4.0	80.0
Set	-62.8	23.0
Set	36.2	204.0
Set	-119.5	31.0
Set	-45.0	24.0
Set	-69.3	268.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
