Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	49.9	290.0
Set	-79.4	107.0
Set	-117.8	79.0
Set	-64.8	105.0
Set	56.8	322.0
Set	-97.0	273.0
Set	44.8	692.0
Set	-74.8	271.0
Set	-58.9	722.0
Set	15.0	619.0
Set	-98.2	34.0
Set	-34.7	403.0
Set	-103.7	362.0
Set	45.1	187.0
Set	-78.8	423.0
Set	43.3	250.0
Set	-74.1	26.0
Set	-2.1	460.0
Set	-100.6	100.0
Set	20.4	187.0
Set	-91.2	138.0
Set	37.5	604.0
Set	-49.3	317.0
Set	37.1	56.0
Set	-99.2	59.0
Set	21.0	863.0
Set	-72.4	677.0
Set	0.7	187.0
Set	-99.7	24.0
Set	-30.2	238.0
Set	41.8	707.0
Set	-97.8	34.0
Set	-23.6	22.0
Set	-52.5	541.0
Set	-26.2	22.0
Set	-57.1	469.0
Set	55.7	428.0
Set	-104.7	87.0
Set	47.1	914.0
Set	-86.7	32.0
Set	-26.6	41.0
Set	14.2	85.0
Set	-105.3	52.0
Set	-7.3	243.0
Set	-51.9	536.0
Set	13.7	1258.0
Set	-86.2	29.0
Set	41.4	105.0
Set	55.9	156.0
Set	-89.2	20.0
Set	10.1	21.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
