Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-66.0	28.0
Set	56.9	341.0
Set	-97.0	266.0
Set	60.0	214.0
Set	-75.0	320.0
Set	18.1	33.0
Set	-89.6	20.0
Set	59.2	29.0
Set	-108.9	126.0
Set	59.7	134.0
Set	-45.1	233.0
Set	-82.3	383.0
Set	29.0	1074.0
Set	-26.3	24.0
Set	-69.9	803.0
Set	14.4	22.0
Set	-100.7	20.0
Set	57.4	20.0
Set	-56.0	38.0
Set	-99.2	87.0
Set	-74.4	304.0
Set	56.6	118.0
Set	-101.9	48.0
Set	-39.3	40.0
Set	-104.9	52.0
Set	32.6	395.0
Set	-26.5	118.0
Set	-89.5	22.0
Set	-7.0	69.0
Set	-73.0	91.0
Set	59.8	124.0
Set	-101.3	24.0
Set	-30.6	96.0
Set	-59.2	211.0
Set	-91.1	69.0
Set	-50.0	940.0
Set	40.7	20.0
Set	-87.5	22.0
Set	11.1	23.0
Set	-103.4	49.0
Set	-47.9	377.0
Set	-56.8	464.0
Set	58.0	242.0
Set	-100.8	77.0
Set	-26.5	37.0
Set	45.3	205.0
Set	-92.3	54.0
Set	23.3	46.0
Set	-42.4	91.0
Set	-109.7	37.0
Set	-28.9	23.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
