Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-44.3	23.0
Set	57.6	227.0
Set	-97.0	296.0
Set	58.9	146.0
Set	-69.4	176.0
Set	-117.8	79.0
Set	59.8	60.0
Set	-95.8	20.0
Set	11.0	23.0
Set	-70.5	255.0
Set	15.3	176.0
Set	-101.7	91.0
Set	34.9	485.0
Set	-75.1	290.0
Set	-15.3	458.0
Set	-62.3	127.0
Set	-97.3	38.0
Set	-42.8	189.0
Set	30.0	987.0
Set	-52.5	937.0
Set	-80.9	244.0
Set	10.6	23.0
Set	-0.9	24.0
Set	-104.0	24.0
Set	56.0	364.0
Set	-72.0	382.0
Set	-24.8	130.0
Set	12.4	613.0
Set	-97.9	72.0
Set	-63.7	644.0
Set	30.5	85.0
Set	-101.0	31.0
Set	-51.0	73.0
Set	51.4	518.0
Set	-98.7	89.0
Set	59.9	103.0
Set	-29.1	138.0
Set	-104.9	32.0
Set	17.9	185.0
Set	-42.1	298.0
Set	-97.7	45.0
Set	-0.9	336.0
Set	11.4	386.0
Set	-115.4	40.0
Set	38.5	285.0
Set	-67.9	33.0
Set	10.0	21.0
Set	-99.0	24.0
Set	-36.4	61.0
Set	-97.2	50.0
Set	52.4	201.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
