Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.7	144.0
Set	-50.7	389.0
Set	-117.8	83.0
Set	57.7	242.0
Set	-19.9	357.0
Set	-97.0	297.0
Set	-22.3	142.0
Set	53.7	568.0
Set	-74.4	836.0
Set	45.4	264.0
Set	-68.6	47.0
Set	-82.5	354.0
Set	37.5	20.0
Set	59.7	44.0
Set	-69.9	336.0
Set	-25.0	89.0
Set	28.9	95.0
Set	32.4	710.0
Set	-99.0	73.0
Set	-47.5	20.0
Set	-26.7	20.0
Set	-87.0	21.0
Set	14.7	250.0
Set	-99.2	20.0
Set	30.6	87.0
Set	-97.2	64.0
Set	-4.0	297.0
Set	-99.4	24.0
Set	60.0	29.0
Set	-52.5	675.0
Set	20.6	21.0
Set	54.5	54.0
Set	-68.0	20.0
Set	37.5	932.0
Set	-118.5	24.0
Set	55.9	32.0
Set	-97.2	1265.0
Set	37.1	172.0
Set	-56.8	101.0
Set	-97.2	58.0
Set	-30.6	24.0
Set	-114.6	24.0
Set	59.9	204.0
Set	-87.0	24.0
Set	28.7	22.0
Set	-21.3	58.0
Set	-85.6	41.0
Set	9.2	371.0
Set	-27.7	279.0
Set	13.5	20.0
Set	-38.9	22.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
