Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-63.3	90.0
Set	58.0	403.0
Set	-97.0	248.0
Set	59.9	129.0
Set	-55.4	306.0
Set	-117.2	85.0
Set	-89.1	20.0
Set	5.1	21.0
Set	31.2	20.0
Set	56.4	132.0
Set	-81.1	272.0
Set	-36.9	27.0
Set	-70.4	206.0
Set	42.7	467.0
Set	-72.8	1579.0
Set	59.8	139.0
Set	-50.8	279.0
Set	-29.3	35.0
Set	-69.5	274.0
Set	41.4	21.0
Set	-98.0	20.0
Set	-0.7	132.0
Set	-56.9	290.0
Set	-102.6	184.0
Set	53.9	65.0
Set	-82.3	232.0
Set	-46.2	21.0
Set	-46.9	21.0
Set	-103.2	24.0
Set	-27.0	20.0
Set	57.3	67.0
Set	-34.1	23.0
Set	-75.7	20.0
Set	-20.8	20.0
Set	-74.3	102.0
Set	-40.7	39.0
Set	-93.1	197.0
Set	51.9	233.0
Set	52.4	46.0
Set	-28.8	301.0
Set	-99.7	71.0
Set	24.2	47.0
Set	-101.2	31.0
Set	-27.5	570.0
Set	-81.1	40.0
Set	25.6	671.0
Set	-48.3	884.0
Set	-105.5	146.0
Set	44.4	42.0
Set	-61.0	115.0
Set	-90.8	188.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
