Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-113.5	31.0
Set	59.3	199.0
Set	-97.4	372.0
Set	42.2	723.0
Set	-59.6	456.0
Set	-114.2	310.0
Set	48.7	308.0
Set	-52.5	225.0
Set	-79.1	484.0
Set	38.8	494.0
Set	-54.2	535.0
Set	-86.4	735.0
Set	53.6	106.0
Set	-70.4	217.0
Set	39.9	40.0
Set	-70.7	130.0
Set	-13.4	81.0
Set	-115.0	20.0
Set	42.6	79.0
Set	-49.9	593.0
Set	-70.3	357.0
Set	-25.0	23.0
Set	-111.8	24.0
Set	-56.6	21.0
Set	49.9	263.0
Set	-26.3	25.0
Set	19.2	21.0
Set	-35.4	60.0
Set	-99.7	41.0
Set	35.2	24.0
Set	-106.2	23.0
Set	15.4	22.0
Set	-78.0	249.0
Set	13.9	336.0
Set	-53.4	266.0
Set	-105.2	24.0
Set	-17.7	40.0
Set	52.4	126.0
Set	-77.3	25.0
Set	11.0	246.0
Set	-100.8	47.0
Set	-1.6	47.0
Set	-86.2	24.0
Set	-32.5	21.0
Set	-1.6	20.0
Set	53.7	166.0
Set	-50.2	34.0
Set	57.7	28.0
Set	-29.2	24.0
Set	-102.7	20.0
Set	-39.2	40.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
