Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	60.0	148.0
Set	-80.6	128.0
Set	-110.3	115.0
Set	11.2	25.0
Set	60.0	216.0
Set	-75.0	656.0
Set	34.9	705.0
Set	-52.5	900.0
Set	-87.3	216.0
Set	59.4	370.0
Set	-97.5	100.0
Set	27.8	258.0
Set	-84.8	79.0
Set	-5.1	96.0
Set	-64.6	739.0
Set	47.2	257.0
Set	-100.4	35.0
Set	-23.3	694.0
Set	-100.9	53.0
Set	-9.2	962.0
Set	-118.8	664.0
Set	44.2	259.0
Set	-99.9	123.0
Set	-1.7	38.0
Set	49.8	177.0
Set	-67.0	353.0
Set	-34.5	71.0
Set	-81.9	227.0
Set	-5.5	23.0
Set	-112.2	20.0
Set	47.0	522.0
Set	-100.5	79.0
Set	-9.3	20.0
Set	44.9	148.0
Set	-97.4	40.0
Set	58.6	24.0
Set	-57.2	794.0
Set	44.2	20.0
Set	-54.3	20.0
Set	2.5	70.0
Set	52.6	173.0
Set	-23.1	62.0
Set	42.3	20.0
Set	-101.4	20.0
Set	-2.0	24.0
Set	34.9	905.0
Set	-118.7	51.0
Set	24.5	356.0
Set	46.8	486.0
Set	-116.5	51.0
Set	-31.7	224.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
