Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.7	146.0
Set	-81.1	124.0
Set	-106.8	272.0
Set	60.0	206.0
Set	-95.1	106.0
Set	-18.2	20.0
Set	-116.4	31.0
Set	-6.2	381.0
Set	-90.2	649.0
Set	59.7	235.0
Set	-74.9	583.0
Set	-41.5	238.0
Set	-100.3	26.0
Set	58.2	105.0
Set	-69.4	769.0
Set	34.1	298.0
Set	-76.6	455.0
Set	-16.2	83.0
Set	-100.8	21.0
Set	37.5	610.0
Set	-47.1	135.0
Set	-26.4	223.0
Set	-99.1	97.0
Set	41.2	249.0
Set	-116.1	23.0
Set	29.7	20.0
Set	-59.3	24.0
Set	13.5	604.0
Set	-61.3	27.0
Set	-41.2	32.0
Set	-114.4	20.0
Set	-38.5	40.0
Set	59.9	24.0
Set	57.1	47.0
Set	-97.3	44.0
Set	-10.2	55.0
Set	-97.5	47.0
Set	6.0	124.0
Set	32.6	177.0
Set	47.4	355.0
Set	-97.6	37.0
Set	54.8	21.0
Set	-41.1	166.0
Set	-86.5	21.0
Set	-26.2	24.0
Set	47.3	288.0
Set	-107.0	20.0
Set	37.3	21.0
Set	-98.9	39.0
Set	55.7	116.0
Set	-25.8	26.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
