Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	-50.1	25.0
Set	57.6	358.0
Set	-97.0	308.0
Set	60.0	134.0
Set	-67.8	188.0
Set	-113.5	100.0
Set	60.0	132.0
Set	-46.5	20.0
Set	-82.5	400.0
Set	57.9	336.0
Set	-73.8	539.0
Set	-110.0	444.0
Set	45.6	370.0
Set	-101.1	51.0
Set	7.3	267.0
Set	-67.2	113.0
Set	-107.4	25.0
Set	-48.8	24.0
Set	36.9	182.0
Set	-86.6	24.0
Set	-9.4	20.0
Set	-51.0	427.0
Set	-29.5	229.0
Set	-69.8	420.0
Set	52.4	54.0
Set	-104.9	31.0
Set	-26.6	223.0
Set	-109.6	29.0
Set	37.5	613.0
Set	-45.4	727.0
Set	19.9	21.0
Set	-106.8	33.0
Set	59.6	20.0
Set	-97.4	24.0
Set	-5.6	28.0
Set	-86.9	20.0
Set	32.4	692.0
Set	-25.0	42.0
Set	-2.2	34.0
Set	-98.2	43.0
Set	4.0	38.0
Set	-54.0	373.0
Set	-102.6	42.0
Set	2.3	907.0
Set	-98.6	279.0
Set	45.2	971.0
Set	-97.0	154.0
Set	-38.2	851.0
Set	-47.4	444.0
Set	-99.8	32.0
Set	-19.9	42.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
