Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	59.9	147.0
Set	-80.0	111.0
Set	-114.1	95.0
Set	57.0	20.0
Set	45.2	536.0
Set	-97.0	196.0
Set	52.3	218.0
Set	-69.0	272.0
Set	-82.4	280.0
Set	37.5	588.0
Set	-49.4	664.0
Set	-74.9	446.0
Set	5.7	343.0
Set	-102.4	20.0
Set	-47.4	478.0
Set	60.0	98.0
Set	-102.0	26.0
Set	-29.2	428.0
Set	-98.2	49.0
Set	-4.1	21.0
Set	-67.8	92.0
Set	50.0	87.0
Set	-119.4	20.0
Set	-13.0	20.0
Set	4.7	259.0
Set	-101.2	20.0
Set	-30.4	20.0
Set	49.8	88.0
Set	-89.1	21.0
Set	30.7	23.0
Set	-43.6	640.0
Set	-86.7	76.0
Set	-10.7	20.0
Set	52.1	938.0
Set	-106.6	31.0
Set	6.4	474.0
Set	55.0	972.0
Set	-74.3	359.0
Set	18.3	151.0
Set	32.2	627.0
Set	-58.7	55.0
Set	1.7	283.0
Set	-29.9	668.0
Set	-55.3	1562.0
Set	-99.1	83.0
Set	31.3	833.0
Set	-99.9	72.0
Set	57.6	913.0
Set	-101.2	67.0
Set	1.0	791.0
Set	-95.4	618.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
