Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	60.0	181.0
Set	-97.5	90.0
Set	22.2	20.0
Set	-87.5	130.0
Set	47.4	692.0
Set	-64.3	969.0
Set	37.3	213.0
Set	-101.7	31.0
Set	-18.4	22.0
Set	-114.4	43.0
Set	-55.2	203.0
Set	-105.3	581.0
Set	45.7	144.0
Set	-90.0	80.0
Set	11.6	635.0
Set	-55.3	612.0
Set	-97.3	105.0
Set	-19.0	426.0
Set	47.1	322.0
Set	-48.2	232.0
Set	-100.9	27.0
Set	46.5	79.0
Set	-96.1	29.0
Set	-40.0	45.0
Set	13.5	162.0
Set	-74.8	269.0
Set	-51.8	20.0
Set	3.9	36.0
Set	-114.8	51.0
Set	-42.8	281.0
Set	51.7	176.0
Set	-61.0	261.0
Set	24.0	20.0
Set	-97.8	40.0
Set	59.7	170.0
Set	-101.8	20.0
Set	39.6	136.0
Set	-28.1	22.0
Set	-114.8	27.0
Set	-13.4	45.0
Set	-52.4	112.0
Set	-82.3	224.0
Set	59.7	428.0
Set	-74.6	90.0
Set	8.8	506.0
Set	-92.7	34.0
Set	14.6	63.0
Set	-76.0	20.0
Set	-22.4	349.0
Set	-82.9	400.0
Set	23.6	726.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
