Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	38.2	981.0
Set	-97.0	150.0
Set	55.2	272.0
Set	-60.3	1027.0
Set	37.3	223.0
Set	-116.6	87.0
Set	53.8	159.0
Set	-80.8	93.0
Set	30.4	20.0
Set	-90.6	51.0
Set	13.7	36.0
Set	-80.2	267.0
Set	57.9	239.0
Set	-98.8	60.0
Set	-35.7	967.0
Set	21.8	413.0
Set	-73.2	36.0
Set	37.9	117.0
Set	-74.6	615.0
Set	39.4	522.0
Set	-98.3	313.0
Set	60.0	135.0
Set	-50.0	23.0
Set	-3.6	24.0
Set	-70.9	304.0
Set	-7.6	25.0
Set	-108.1	285.0
Set	-102.7	20.0
Set	44.7	62.0
Set	-109.0	20.0
Set	18.9	184.0
Set	-97.4	43.0
Set	-25.5	451.0
Set	-86.7	23.0
Set	6.9	20.0
Set	8.8	20.0
Set	-104.3	22.0
Set	59.7	129.0
Set	-25.3	32.0
Set	-102.5	120.0
Set	-17.0	720.0
Set	-67.8	194.0
Set	51.8	1021.0
Set	-72.3	107.0
Set	-17.8	576.0
Set	-51.0	838.0
Set	-18.9	482.0
Set	-54.1	123.0
Set	-98.9	60.0
Set	7.2	160.0
Set	31.8	582.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
