Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	60.0	144.0
Set	-79.8	133.0
Set	-117.7	76.0
Set	59.7	136.0
Set	-68.8	385.0
Set	-97.1	155.0
Set	60.0	200.0
Set	-97.2	118.0
Set	-42.5	421.0
Set	-105.8	20.0
Set	58.9	127.0
Set	-52.5	565.0
Set	20.2	181.0
Set	-71.2	190.0
Set	46.1	693.0
Set	-74.9	93.0
Set	-12.2	40.0
Set	-113.4	115.0
Set	47.7	92.0
Set	-56.3	414.0
Set	-89.0	146.0
Set	32.3	232.0
Set	-99.7	24.0
Set	-18.1	636.0
Set	-91.2	87.0
Set	-51.4	26.0
Set	-73.2	40.0
Set	-30.6	226.0
Set	-66.6	88.0
Set	-105.2	142.0
Set	40.0	258.0
Set	-89.9	51.0
Set	9.8	460.0
Set	-48.3	87.0
Set	-106.5	35.0
Set	-70.1	423.0
Set	45.4	1015.0
Set	-72.4	112.0
Set	43.4	42.0
Set	-58.3	147.0
Set	13.9	20.0
Set	-111.9	20.0
Set	-12.6	36.0
Set	-83.6	35.0
Set	31.3	25.0
Set	-42.1	124.0
Set	-105.1	49.0
Set	4.3	126.0
Set	-68.8	165.0
Set	-83.3	27.0
Set	2.1	20.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
