Type	Voltage	Duration
Set 	-120	50
Ramp	-80	400
Set 	-80	200
Set 	40	1000
Set 	-120	500
Set 	-80	1000
Set	45.8	390.0
Set	-45.3	74.0
Set	-96.6	850.0
Set	58.3	282.0
Set	-70.2	762.0
Set	-109.0	364.0
Set	19.5	928.0
Set	-115.4	36.0
Set	-19.4	129.0
Set	-74.3	243.0
Set	47.6	944.0
Set	-75.5	859.0
Set	35.2	488.0
Set	-99.0	62.0
Set	-82.0	69.0
Set	48.8	169.0
Set	-68.7	348.0
Set	-37.3	25.0
Set	-21.9	24.0
Set	-104.7	24.0
Set	-1.6	20.0
Set	-90.8	70.0
Set	41.7	360.0
Set	-107.3	821.0
Set	34.7	608.0
Set	-85.7	117.0
Set	-4.2	119.0
Set	-85.8	57.0
Set	-19.0	776.0
Set	-65.0	566.0
Set	-101.4	20.0
Set	46.2	140.0
Set	-57.3	30.0
Set	51.6	200.0
Set	-29.5	347.0
Set	34.9	38.0
Set	-87.0	85.0
Set	-22.5	20.0
Set	-49.2	20.0
Set	24.1	55.0
Set	-4.6	134.0
Set	-97.5	275.0
Set	42.5	503.0
Set	-66.8	242.0
Set	-4.4	198.0
Set	-116.7	28.0
Set	-41.8	21.0
Set	-113.2	20.0
Set	22.6	357.0
Set	-51.0	20.0
Set	19.4	29.0
Set 	-80	1000
Set 	40	500
Set 	-70	10
Ramp	-110	100
Set 	-120	390
Set 	-80	500
