# Voltage [mV]	Duration [ms]
-1.19921853771900231e+02	 5.28256106326657644e+01
 4.81766718859396974e+01	 9.99986039438228204e+02
-4.61037102629827018e+01	 9.99941768212069292e+02
 1.25043636731189167e+00	 9.99999998365253532e+02
-4.02894727841955103e+00	 9.99999999866616236e+02
-1.77563495222272820e+01	 9.99735386246757912e+02
-9.77258737660464618e+01	 5.04117258846918048e+01
-8.50000004335321364e+01	 7.83583864547721987e+02
-8.50000000217671214e+01	 2.31832763875404169e+02
-8.52068640425742387e+01	 9.99642836497265421e+02
-8.98114685137544058e+01	 7.10859811397483327e+02
-1.19997784810425443e+02	 9.99780878685644666e+02
-8.23651203689593245e+01	 1.95001011642132937e+02
 4.16433808890458863e+01	 9.99946419348967311e+02
-5.70015616674962189e+01	 1.07835745854290579e+02
-8.42517721823173957e+01	 5.48278407143263166e+02
 5.01642113517657151e+00	 2.61313866231665770e+02
 5.10482572548189069e+01	 1.29191521200768136e+02
-9.95221020578902653e+01	 9.99999999997004920e+02
 2.11647928157402987e+00	 9.99999998530337621e+02
-4.17365744164803942e+01	 1.86581326072739415e+02
-8.51661155565179371e+01	 9.98513288165770177e+02
 4.19321245743497570e+01	 5.02057612447106294e+01
-8.51474460023952417e+01	 6.49931201907847026e+02
-6.96473699541906512e+01	 9.99999565039947129e+02
-1.01889497790254779e+01	 8.14506831579418076e+02
-7.15103825969848685e+01	 9.99995284325162970e+02
 2.03430725244508608e+01	 9.99971090664130088e+02
 4.67528249253199419e+01	 7.96528915931467282e+02
-1.19999999969432793e+02	 6.62966677933797882e+02
-8.38833932442101116e+00	 1.28003884705903403e+02
 3.61359571585341826e+01	 3.74306825533381925e+02
 5.38024988359662188e+01	 9.98828961092281361e+02
-8.49903998930996778e+01	 9.48826426293764825e+02
-8.49060629805852614e+01	 4.23174223760713403e+02
-1.10896563141389507e+02	 1.29291600347526810e+02
-1.19999999995774004e+02	 9.99999999970168346e+02
 2.19677431909234997e+01	 1.98499999289876087e+02
-8.89371192598430298e+01	 9.99678250884058230e+02
-8.46222945962916668e+01	 8.68994023707037968e+02
 3.36287877146868937e+01	 5.00030677249765176e+01
 2.73035931756677144e+01	 9.92943630257657333e+01
-1.19999999999300428e+02	 5.02698111062292625e+01
-8.49996967358070492e+01	 1.07135898422788614e+02
-8.49998411380116181e+01	 6.06891927792891934e+01
