# Voltage [mV]	Duration [ms]
 5.99999999713801913e+01	 9.99999999998747739e+02
 5.99999999988892228e+01	 9.99999999874759055e+02
-6.93675944038766943e+01	 5.48573922598709274e+01
-8.25401040606136007e+01	 9.99000059132569277e+02
 1.08381782372409816e+01	 9.55413856528834003e+02
-5.10663756232765991e+01	 2.19471136639055885e+02
-8.17791560399532500e+01	 9.99007091569024283e+02
 5.99577759969332078e+01	 5.15419702065274450e+01
-5.54242742385548866e+01	 1.03235461334390038e+02
-8.01585412326052023e+01	 4.87998743270228260e+02
 5.99989733168503108e+01	 9.99880173614389605e+02
-7.11047001472198161e+01	 9.99985968067747308e+02
 5.99999995074854269e+01	 9.99986146481648802e+02
 5.99999999987429078e+01	 9.99944205683791324e+02
-1.19999999998382350e+02	 1.01654544882733717e+02
 5.99999999973922513e+01	 9.99999999812289616e+02
 5.99999999836507243e+01	 9.99999999816262402e+02
-7.19082809378875254e+00	 2.69184754381363121e+02
-6.48931953695280441e+01	 5.00000000022501183e+01
-4.72815304751357246e+01	 7.50595400405995861e+01
-8.13786431085620166e+01	 6.72828241262795501e+01
 5.99999999934485686e+01	 9.99999999920522669e+02
 5.99999999467528369e+01	 9.99999999474208266e+02
-1.73764549163300330e+00	 9.99648237132509621e+02
-5.23821878013414022e+01	 5.00000000007429364e+01
 5.99999999911143505e+01	 9.99999999698094257e+02
-5.41329319971752909e+01	 5.00000001031921357e+01
