# Voltage [mV]	Duration [ms]
-9.66515515236237661e+01	 9.82737140686454950e+02
 5.97291214744589638e+01	 7.29763456228435984e+02
-5.08836182255433442e+01	 2.66094786377363846e+02
 9.06705132442590411e+00	 8.52267050687256415e+02
 4.58391425516793447e+01	 6.21255680457048356e+02
-4.55000548108657057e+01	 3.60403702342951760e+02
-1.19998411290513218e+02	 9.99368537991381459e+02
-1.19997995680763594e+02	 9.99827934800841717e+02
-8.80438332942787696e+01	 2.22175723393234875e+02
 3.02173665861017469e+01	 3.87737593399353500e+02
 5.65530347030784810e+01	 9.71762581880142534e+02
-1.19998220360071173e+02	 5.01653580721722392e+01
 5.75268103376497493e+01	 4.97031954634526073e+02
-1.19999941469459259e+02	 9.99976429630380494e+02
-1.19999910389032948e+02	 9.99080514741658362e+02
-9.59798558425439410e+01	 6.41798660971748632e+02
 5.97987879982697450e+01	 8.06203969626826392e+02
-4.24905478585212393e+01	 3.99944887433625524e+02
 5.60244888751666394e+01	 9.35914272039223761e+02
-4.81998870210657060e+00	 5.55972328045267403e+01
 5.98370047673427052e+01	 5.00408227624034225e+01
-5.30622470677104729e+01	 4.88059586054293050e+02
 5.90489456851756813e+01	 9.89441681359847053e+02
-4.27619152291922546e+01	 3.20822335343171460e+02
-7.78844080182351490e+01	 7.52835326251175616e+02
 4.65039890005823224e+01	 9.10628824675319265e+02
-1.16426495130465014e+02	 5.42924359841101563e+01
