Iter. Eval.  Best      Time m:s
0     12      27.3127    0:00.5
1     24      27.22364   0:00.8
2     36      27.20215   0:01.1
3     48      27.1448    0:01.4
20    225     24.549     0:06.5
40    345     12.51508   0:12.2
60    434     7.694963   0:18.4
80    558     6.248607   0:25.0
100   691     5.25583    0:31.6
120   825     5.035391   0:38.2
140   957     4.478797   0:44.5
160   1071    4.301719   0:50.7
180   1200    4.121581   0:57.0
200   1341    3.939482   1:03.2
220   1477    3.779572   1:09.3
240   1602    3.682655   1:15.4
260   1719    3.58482    1:21.6
280   1862    3.563403   1:28.0
300   1996    3.534419   1:34.2
320   2104    3.492283   1:40.3
340   2228    3.438256   1:46.4
360   2349    3.38855    1:52.5
380   2470    3.295374   1:58.6
400   2594    3.085058   2:04.8
420   2696    2.721634   2:10.8
440   2862    0.326779   2:17.0
460   2953    0.306      2:22.8
480   3102    0.276      2:29.0
500   3248    0.268      2:35.3
520   3367    0.268      2:41.5
540   3513    0.264      2:47.7
560   3680    0.264      2:54.0
580   3832    0.261142   3:00.2
600   3972    0.257      3:06.4
620   4105    0.257      3:12.6
640   4245    0.257      3:18.9
660   4403    0.255      3:25.2
680   4514    0.253      3:31.2
700   4653    0.253      3:37.4
720   4791    0.253      3:43.7
740   4932    0.252      3:50.0
760   5057    0.252      3:56.2
780   5184    0.252      4:02.4
800   5331    0.252      4:08.5
820   5469    0.252      4:14.9
840   5597    0.252      4:21.3
860   5727    0.252      4:27.7
880   5871    0.252      4:34.1
900   6000    0.252      4:40.9
920   6141    0.252      4:47.6
940   6274    0.252      4:54.0
960   6414    0.252      5:00.4
980   6559    0.251      5:06.5
1000  6701    0.251      5:12.7
1020  6812    0.251      5:18.7
1040  6949    0.251      5:24.8
1060  7095    0.251      5:31.2
1080  7246    0.251      5:37.5
1100  7390    0.251      5:43.7
1120  7510    0.251051   5:50.0
1140  7640    0.251      5:56.1
1160  7762    0.251      6:02.2
1180  7901    0.251      6:08.4
1200  8013    0.251      6:14.5
1220  8152    0.251      6:20.7
1240  8290    0.251      6:27.0
1260  8416    0.251      6:33.3
1280  8554    0.251      6:39.6
1300  8720    0.251      6:45.9
1320  8870    0.25022    6:52.2
1340  8995    0.25       6:58.5
1360  9120    0.25       7:04.8
1380  9235    0.249      7:11.0
1400  9379    0.249      7:17.2
1420  9502    0.248      7:23.6
1440  9648    0.247      7:30.1
1460  9783    0.247      7:36.5
1480  9921    0.246      7:43.0
1500  10041   0.246      7:49.5
1520  10154   0.246      7:55.9
1540  10282   0.246      8:02.5
1560  10415   0.246      8:09.0
1580  10526   0.246      8:15.4
1600  10662   0.246      8:21.9
1620  10814   0.245      8:28.8
1640  10952   0.245      8:35.6
1660  11079   0.245      8:42.6
1680  11216   0.245      8:49.6
1700  11333   0.245      8:56.5
1720  11456   0.245      9:03.5
1740  11590   0.244      9:10.4
1760  11742   0.241      9:17.4
1780  11891   0.237      9:23.9
1800  12026   0.235      9:30.2
1820  12200   0.235      9:36.9
1840  12369   0.235      9:43.6
1860  12526   0.235      9:50.0
1880  12679   0.234      9:56.3
1900  12826   0.234     10:02.4
1920  12961   0.234     10:08.5
1940  13131   0.233     10:14.6
1960  13291   0.233     10:20.9
1980  13485   0.233     10:27.0
2000  13655   0.233     10:33.1
2020  13807   0.233     10:39.1
2040  13955   0.233     10:45.0
2060  14100   0.233     10:51.0
2080  14250   0.233     10:57.1
2100  14402   0.232     11:03.1
2120  14560   0.232     11:09.2
2140  14716   0.232     11:15.2
2160  14884   0.232     11:21.2
2180  15019   0.232     11:27.3
2200  15021   0.232     11:27.6
2220  15021   0.232     11:27.6
2240  15021   0.232     11:27.7
2260  15021   0.232     11:27.7
2280  15022   0.232     11:28.0
2300  15127   0.232     11:33.3
2320  15280   0.232     11:39.4
2340  15410   0.232     11:45.3
2360  15552   0.232     11:51.2
2380  15673   0.232     11:57.2
2400  15804   0.232     12:03.3
2420  15936   0.232     12:09.4
2440  16068   0.232131  12:15.4
2460  16216   0.232     12:21.6
2480  16364   0.232     12:27.6
2500  16490   0.232     12:33.6
2520  16570   0.232     12:39.5
2540  16704   0.232     12:45.5
2560  16847   0.232     12:51.6
2580  16998   0.232     12:57.8
2600  17179   0.232     13:04.0
2620  17327   0.231     13:10.3
2640  17461   0.231     13:16.3
2660  17607   0.231     13:22.4
2680  17756   0.231     13:28.7
2700  17884   0.231     13:34.7
2720  18033   0.231     13:40.9
2740  18162   0.231     13:47.3
2760  18295   0.231     13:53.3
2780  18434   0.23      13:59.5
2800  18572   0.23      14:05.7
2820  18716   0.23      14:11.9
2840  18867   0.228     14:18.0
2860  19038   0.226     14:24.1
2880  19247   0.225     14:30.4
2900  19429   0.225     14:36.4
2920  19625   0.223     14:42.6
2940  19834   0.221     14:48.8
2960  20051   0.22      14:55.1
2980  20273   0.219     15:01.3
3000  20463   0.218     15:07.5
3020  20675   0.218     15:13.7
3040  20886   0.218     15:20.0
3060  21095   0.217     15:26.2
3080  21274   0.217     15:32.5
3100  21436   0.214     15:38.6
3120  21608   0.212     15:44.7
3140  21799   0.211     15:50.8
3160  21970   0.211     15:56.9
3180  22141   0.210436  16:02.9
3200  22308   0.21      16:09.0
3220  22435   0.21      16:15.0
3240  22585   0.21      16:21.0
3260  22727   0.21      16:27.0
3280  22854   0.21      16:33.1
3300  23011   0.21      16:39.1
3320  23192   0.209     16:45.4
3340  23334   0.209     16:51.4
3360  23495   0.209     16:57.7
3380  23676   0.208     17:04.0
3400  23819   0.208     17:10.0
3420  23976   0.208     17:16.4
3440  24135   0.208     17:22.5
3460  24310   0.208     17:29.0
3480  24470   0.208     17:35.1
3500  24610   0.208     17:41.3
3520  24768   0.208     17:47.5
3540  24942   0.207482  17:53.5
3560  25107   0.207     17:59.6
3580  25287   0.206     18:05.7
3600  25467   0.206     18:11.7
3620  25641   0.204338  18:17.8
3640  25785   0.2       18:23.8
3660  25953   0.179     18:30.0
3680  26140   0.166     18:36.1
3700  26330   0.16      18:42.2
3720  26516   0.152     18:48.3
3740  26700   0.148     18:54.4
3760  26925   0.14      19:00.5
3780  27133   0.125     19:06.6
3800  27331   0.113236  19:12.7
3820  27550   0.108     19:18.9
3840  27778   0.0995    19:25.0
3860  27984   0.0902    19:31.2
3880  28168   0.0863    19:37.4
3900  28395   0.0859    19:43.6
3920  28631   0.0837    19:49.9
3940  28871   0.0822    19:56.4
3960  29109   0.0791    20:02.7
3980  29315   0.0757    20:09.2
4000  29530   0.0751    20:15.6
4020  29743   0.0747    20:21.8
4040  29965   0.0741    20:28.1
4060  30196   0.0732    20:34.7
4080  30434   0.0722    20:41.3
4100  30645   0.0703    20:47.8
4120  30830   0.0693    20:54.4
4140  31039   0.0679    21:00.8
4160  31259   0.0662    21:07.3
4180  31499   0.0652    21:13.7
4200  31739   0.0647    21:20.1
4220  31979   0.064     21:26.4
4240  32219   0.063     21:32.7
4260  32459   0.0625    21:39.1
4280  32699   0.0623    21:45.4
4300  32939   0.0619    21:51.6
4320  33179   0.0614    21:57.9
4340  33408   0.0606    22:04.1
4360  33608   0.0602    22:10.3
4380  33798   0.06      22:16.4
