Iter. Eval.  Best      Time m:s
0     8       0.253      0:00.4
1     19      0.251826   0:00.7
2     30      0.25       0:01.0
3     41      0.248869   0:01.3
20    217     0.246      0:06.6
40    447     0.246      0:12.4
60    674     0.246      0:18.2
80    892     0.246      0:24.1
100   1099    0.245      0:30.0
120   1299    0.245      0:35.9
140   1497    0.245      0:42.2
160   1704    0.245      0:48.6
180   1872    0.245      0:55.0
200   2042    0.245      1:01.4
220   2205    0.244      1:07.8
240   2360    0.244      1:14.4
260   2514    0.244      1:21.0
280   2700    0.244      1:27.5
300   2863    0.243747   1:33.6
320   3008    0.244      1:39.7
340   3170    0.243      1:45.6
360   3328    0.242      1:51.5
380   3502    0.22       1:57.6
400   3645    0.193      2:03.5
420   3827    0.19       2:09.6
440   4029    0.188      2:15.7
460   4225    0.185612   2:21.9
480   4399    0.182      2:28.0
500   4571    0.178      2:34.1
520   4749    0.174      2:40.1
540   4924    0.167      2:46.2
560   5087    0.159      2:52.2
580   5293    0.151      2:58.4
600   5487    0.142      3:04.6
620   5702    0.138      3:11.1
640   5912    0.135      3:17.7
660   6130    0.131      3:24.8
680   6333    0.129      3:31.5
700   6504    0.127      3:37.7
720   6713    0.124      3:43.9
740   6874    0.122      3:50.0
760   7050    0.121      3:56.1
780   7203    0.12       4:02.0
800   7369    0.119      4:07.9
820   7524    0.119      4:13.8
840   7677    0.118      4:19.8
860   7850    0.117      4:25.7
880   8038    0.114563   4:31.8
900   8216    0.112      4:37.9
920   8421    0.11       4:44.0
940   8630    0.109      4:50.2
960   8830    0.107      4:56.2
980   8998    0.107      5:02.2
1000  9189    0.106      5:08.3
1020  9374    0.105      5:14.3
1040  9541    0.105      5:20.4
1060  9730    0.104      5:26.4
1080  9915    0.102      5:32.5
1100  10095   0.101      5:38.4
1120  10274   0.1        5:44.4
1140  10441   0.0986     5:50.3
1160  10609   0.0972     5:56.3
1180  10770   0.096      6:02.3
1200  10915   0.0956     6:08.3
1220  11074   0.0946     6:14.3
1240  11240   0.093      6:20.5
1260  11408   0.0901     6:26.7
1280  11608   0.0814     6:33.0
1300  11841   0.0738     6:39.3
1320  12081   0.0725     6:46.0
1340  12318   0.0695     6:52.5
1360  12537   0.0685     6:58.9
1380  12759   0.0678     7:05.2
1400  12952   0.0673     7:11.5
1420  13161   0.0668     7:17.6
1440  13370   0.0665     7:23.8
1460  13559   0.0664     7:29.9
1480  13736   0.0663     7:35.9
1500  13929   0.0662     7:41.9
1520  14148   0.0659     7:48.0
1540  14334   0.0657     7:54.1
1560  14544   0.0655     8:00.2
1580  14761   0.0652     8:06.6
1600  14986   0.0628     8:12.8
1620  15205   0.0563     8:19.0
1640  15395   0.0538     8:25.0
1660  15577   0.0517     8:31.1
1680  15781   0.0472     8:37.3
1700  15955   0.0461     8:43.5
1720  16113   0.0439     8:49.6
1740  16280   0.0418     8:55.6
1760  16445   0.039      9:01.6
1780  16613   0.0373     9:07.6
1800  16795   0.036      9:13.7
1820  16960   0.035      9:19.9
1840  17147   0.0346     9:26.0
1860  17325   0.0338     9:32.5
1880  17526   0.0336     9:38.7
1900  17749   0.0335     9:44.9
1920  17948   0.0334     9:51.5
1940  18156   0.0331     9:58.2
1960  18375   0.0319    10:05.1
1980  18567   0.0293    10:11.7
2000  18755   0.0243    10:17.9
2020  18957   0.0217    10:24.1
2040  19163   0.0202    10:30.3
2060  19375   0.0191    10:36.5
2080  19576   0.0185    10:42.6
2100  19777   0.0181    10:48.9
2120  19998   0.0179    10:55.2
2140  20197   0.0178    11:01.4
2160  20397   0.0178    11:07.5
2180  20573   0.0178    11:13.5
2200  20760   0.0178    11:19.7
2220  20938   0.0178    11:26.0
2240  21097   0.0178    11:32.0
2260  21270   0.0178    11:38.2
2280  21470   0.0178    11:44.3
2300  21679   0.0178    11:50.6
2320  21901   0.0177    11:56.8
2340  22125   0.0177    12:02.9
2360  22325   0.0177    12:09.1
2380  22552   0.0176    12:15.5
2400  22783   0.0176    12:21.7
2420  23020   0.0175    12:28.0
2440  23254   0.0173    12:34.6
2460  23494   0.0171    12:40.8
2480  23734   0.0167    12:47.5
2500  23974   0.0163    12:53.9
2520  24214   0.0157    13:00.4
2540  24454   0.0154    13:07.4
2560  24694   0.0154    13:14.0
2580  24934   0.0153    13:20.2
2600  25174   0.015309  13:26.4
2620  25414   0.0153    13:32.5
2640  25654   0.0153    13:38.6
2660  25894   0.015306  13:44.8
2680  26134   0.0153    13:50.9
2700  26374   0.0153    13:57.3
2720  26592   0.0153    14:03.4
2740  26779   0.0153    14:09.6
2760  26964   0.0153    14:15.8
2780  27139   0.0153    14:21.9
2800  27306   0.0153    14:28.1
2820  27493   0.0153    14:34.3
2840  27686   0.0153    14:40.5
2860  27879   0.0153    14:46.7
2880  28088   0.0153    14:52.8
2900  28293   0.0153    14:59.2
2920  28491   0.0153    15:05.4
2940  28695   0.0153    15:11.6
2960  28922   0.0153    15:18.0
2980  29134   0.0153    15:24.4
3000  29359   0.0153    15:30.7
3020  29573   0.0153    15:37.0
3040  29785   0.0153    15:43.6
3060  30015   0.0153    15:50.2
3080  30247   0.0153    15:57.3
3100  30475   0.0153    16:03.8
3120  30710   0.0153    16:10.0
3140  30941   0.0153    16:16.2
3160  31171   0.0153    16:22.2
3180  31411   0.0153    16:28.3
3200  31651   0.0153    16:34.4
3220  31891   0.0153    16:40.5
3240  32131   0.0153    16:46.7
3260  32371   0.0153    16:52.9
3280  32611   0.0153    16:59.1
3300  32851   0.0153    17:05.2
3315  33019   0.0153    17:09.5
