Iter. Eval.  Best      Time m:s
0     5       0.812265   0:00.3
1     14      0.763      0:00.7
2     23      0.429      0:01.0
3     34      0.286834   0:01.3
20    154     0.24       0:06.5
40    280     0.238      0:12.2
60    444     0.235      0:18.2
80    639     0.217      0:24.2
100   823     0.211      0:30.0
120   1052    0.211      0:35.9
140   1283    0.21       0:41.8
160   1515    0.209      0:47.8
180   1700    0.209      0:53.6
200   1884    0.209      0:59.3
220   2068    0.208      1:05.3
240   2242    0.208      1:11.2
260   2429    0.208      1:17.1
280   2643    0.205      1:23.4
300   2817    0.202      1:29.3
320   3020    0.198      1:35.5
340   3202    0.186      1:41.3
360   3389    0.18       1:47.2
380   3608    0.171      1:53.2
400   3820    0.17       1:59.0
420   4019    0.168      2:04.7
440   4210    0.16       2:10.6
460   4406    0.156      2:16.4
480   4580    0.155034   2:22.3
500   4734    0.154      2:28.0
520   4888    0.154      2:33.7
540   5050    0.154      2:39.5
560   5202    0.153      2:45.3
580   5364    0.153      2:50.9
600   5523    0.152      2:57.0
620   5679    0.151      3:02.9
640   5859    0.15       3:08.9
660   6029    0.149      3:15.3
680   6218    0.148      3:21.5
700   6406    0.145      3:27.6
720   6569    0.144      3:33.7
740   6746    0.144      3:39.5
760   6912    0.143      3:45.4
780   7112    0.14       3:51.4
800   7316    0.133      3:57.3
820   7519    0.131      4:03.3
840   7744    0.131      4:09.4
860   7960    0.131      4:15.4
880   8172    0.13       4:21.5
900   8376    0.13       4:27.5
920   8547    0.13       4:33.4
940   8712    0.129      4:39.3
960   8916    0.126      4:45.3
980   9097    0.123      4:51.2
1000  9300    0.122      4:57.2
1020  9505    0.117      5:03.2
1040  9723    0.110589   5:09.2
1060  9939    0.104      5:15.2
1080  10152   0.0999     5:21.3
1100  10360   0.0934     5:27.3
1120  10544   0.0869     5:33.2
1140  10746   0.0849     5:39.3
1160  10960   0.0821     5:45.4
1180  11167   0.0797     5:51.7
1200  11348   0.0788     5:58.0
1220  11535   0.0783     6:04.1
1240  11717   0.078      6:10.2
1260  11904   0.0778     6:16.3
1280  12099   0.0773     6:23.0
1300  12291   0.0758     6:29.3
1320  12500   0.0736     6:35.9
1340  12685   0.0727     6:42.5
1360  12870   0.0714     6:48.7
1380  13040   0.0707     6:54.8
1400  13241   0.0696     7:00.9
1420  13443   0.0691     7:07.1
1440  13660   0.0683     7:13.1
1460  13857   0.0666     7:19.1
1480  14082   0.0636     7:25.3
1500  14319   0.0599     7:31.4
1520  14544   0.0533     7:37.5
1540  14745   0.0412     7:43.7
1560  14943   0.0304     7:49.8
1580  15174   0.0254     7:56.1
1600  15404   0.0227     8:02.3
1620  15644   0.0218     8:08.6
1640  15884   0.0214     8:14.7
1660  16124   0.0208     8:21.0
1680  16364   0.0199     8:27.1
1700  16604   0.0185     8:33.5
1720  16844   0.0171     8:39.5
1740  17084   0.0166     8:45.8
1760  17324   0.0164     8:52.5
1780  17564   0.0164     8:58.9
1800  17804   0.0163     9:05.3
1820  18044   0.0163     9:11.8
1840  18272   0.0163     9:18.5
1860  18486   0.0163     9:25.0
1880  18703   0.0162     9:31.8
1900  18922   0.0162     9:38.0
1920  19119   0.0162     9:44.3
1940  19301   0.0162     9:50.5
1960  19458   0.0162     9:56.6
1980  19644   0.0162    10:02.8
2000  19821   0.0162    10:09.0
2020  20020   0.0162    10:15.2
2040  20201   0.0162    10:21.4
2060  20411   0.0161    10:27.5
2080  20629   0.0161    10:33.7
2100  20842   0.0161    10:39.9
2120  21057   0.0161    10:46.1
2140  21256   0.0161    10:52.3
2160  21437   0.0161    10:58.5
2180  21602   0.0161    11:04.8
2200  21787   0.0161    11:11.0
2220  21964   0.0161    11:17.2
2240  22145   0.0161    11:23.3
2260  22362   0.0161    11:29.6
2280  22571   0.0161    11:35.9
2300  22791   0.0161    11:42.1
2320  23022   0.0161    11:48.2
2340  23248   0.0161    11:54.7
2360  23459   0.0161    12:01.1
2380  23688   0.0161    12:07.5
2400  23918   0.0161    12:14.1
2420  24136   0.0161    12:20.6
2440  24369   0.0161    12:27.2
2460  24609   0.0161    12:34.0
2480  24849   0.0161    12:40.1
2500  25081   0.0161    12:46.2
2520  25316   0.0161    12:52.4
2540  25547   0.0161    12:58.5
2560  25772   0.0161    13:04.6
2580  25996   0.0161    13:10.8
2592  26127   0.0161    13:14.2
