Iter. Eval.  Best      Time m:s
0     3       1.285196   0:00.3
1     10      1.106415   0:00.8
2     21      0.889      0:01.1
3     30      0.707      0:01.3
20    179     0.225      0:06.5
40    365     0.222      0:12.5
60    565     0.214      0:18.6
80    774     0.213      0:24.6
100   1004    0.212472   0:30.7
120   1201    0.21       0:36.6
140   1393    0.207      0:42.6
160   1588    0.191      0:48.6
180   1781    0.181      0:54.7
200   1986    0.17798    1:00.6
220   2191    0.177      1:06.6
240   2367    0.177      1:12.5
260   2538    0.177      1:18.3
280   2703    0.177      1:24.2
300   2854    0.177      1:30.2
320   3015    0.177      1:36.3
340   3190    0.177      1:42.3
360   3370    0.176      1:48.1
380   3550    0.174      1:54.0
400   3745    0.173      1:59.9
420   3945    0.172      2:05.7
440   4156    0.17       2:11.8
460   4346    0.17       2:17.8
480   4512    0.169      2:23.7
500   4662    0.169      2:29.7
520   4838    0.168      2:35.8
540   4982    0.166      2:41.6
560   5141    0.163      2:47.6
580   5285    0.16       2:53.6
600   5452    0.158      2:59.5
620   5594    0.157      3:05.5
640   5751    0.156      3:11.2
660   5899    0.154      3:17.1
680   6059    0.148661   3:23.7
700   6250    0.136      3:30.3
720   6451    0.121      3:36.4
740   6664    0.118      3:42.6
760   6894    0.114      3:48.6
780   7086    0.113      3:54.5
800   7278    0.111      4:00.5
820   7449    0.110201   4:06.5
840   7624    0.11       4:12.5
860   7806    0.108682   4:18.6
880   7996    0.105      4:24.5
900   8182    0.1        4:30.5
920   8391    0.092      4:36.5
940   8609    0.0867     4:42.6
960   8840    0.0827     4:48.7
980   9073    0.0805     4:54.7
1000  9312    0.079      5:00.8
1020  9548    0.0766     5:06.9
1040  9760    0.0709     5:12.9
1060  9969    0.0541     5:18.9
1080  10207   0.0452     5:25.2
1100  10447   0.0394     5:31.7
1120  10687   0.0368     5:38.0
1140  10927   0.0349     5:44.4
1160  11167   0.0332     5:50.9
1180  11407   0.0318     5:57.4
1200  11647   0.0312     6:04.0
1220  11887   0.0309     6:10.6
1240  12127   0.0307     6:17.6
1260  12367   0.0302     6:24.3
1280  12607   0.0297     6:30.7
1300  12835   0.0293     6:37.5
1320  13043   0.0292     6:43.8
1340  13218   0.0292     6:50.0
1360  13398   0.0292     6:56.2
1380  13565   0.0292     7:02.4
1400  13742   0.0292     7:08.6
1420  13910   0.0292     7:14.8
1440  14080   0.0292     7:20.9
1460  14259   0.0292     7:27.3
1480  14452   0.0292     7:33.4
1500  14634   0.0292     7:39.5
1520  14832   0.0292     7:45.7
1540  15045   0.0292     7:51.9
1560  15277   0.029      7:58.1
1580  15508   0.0287     8:04.4
1600  15748   0.0283     8:10.6
1620  15988   0.0277     8:16.8
1640  16224   0.0258     8:22.9
1660  16464   0.0231     8:29.0
1680  16687   0.0218     8:35.1
1700  16926   0.0199     8:41.2
1720  17166   0.0191     8:47.4
1740  17406   0.0182     8:53.4
1760  17646   0.0175     8:59.9
1780  17886   0.0172     9:06.6
1800  18126   0.0169     9:13.5
1820  18366   0.0166     9:19.9
1840  18606   0.0163     9:26.4
1860  18846   0.016      9:32.7
1880  19086   0.0158     9:39.0
1900  19326   0.0156     9:45.2
1920  19566   0.0155     9:51.3
1940  19806   0.0153     9:57.4
1960  20046   0.015     10:03.7
1980  20286   0.0147    10:10.0
2000  20526   0.0143    10:16.2
2020  20766   0.0137    10:22.4
2040  21006   0.0131    10:28.6
2060  21246   0.0124    10:34.7
2080  21486   0.0121    10:40.8
2100  21726   0.0118    10:47.0
2120  21966   0.0115    10:53.2
2140  22206   0.0112    10:59.4
2160  22446   0.0108    11:05.8
2180  22686   0.0103    11:11.9
2200  22926   0.01      11:18.0
2220  23166   0.00958   11:24.1
2240  23406   0.00929   11:30.3
2260  23646   0.00917   11:36.8
2280  23886   0.00912   11:43.6
2300  24126   0.00908   11:50.5
2320  24366   0.00906   11:57.1
2340  24606   0.00904   12:03.8
2360  24846   0.00903   12:10.2
2380  25086   0.00902   12:16.6
2400  25326   0.00898   12:23.0
2420  25566   0.00894   12:29.2
2440  25806   0.00892   12:35.4
2460  26040   0.00892   12:41.6
2480  26275   0.00892   12:47.9
2500  26515   0.00892   12:54.3
2520  26755   0.00892   13:00.6
2540  26995   0.00892   13:07.0
2560  27235   0.00892   13:13.2
2580  27475   0.00892   13:19.5
2600  27715   0.00892   13:26.2
2620  27955   0.00892   13:32.6
2640  28195   0.00892   13:39.0
2660  28435   0.00892   13:45.3
2680  28675   0.00892   13:51.5
2700  28915   0.00892   13:57.9
2720  29155   0.00892   14:04.2
2740  29395   0.00892   14:10.4
2760  29635   0.00892   14:16.8
2780  29875   0.00892   14:23.5
2800  30115   0.00892   14:30.3
2820  30355   0.00892   14:36.9
2830  30463   0.00892   14:39.9
