Iter. Eval.  Best      Time m:s
3820  38897   0.00892   19:42.9
3840  39137   0.00892   19:49.1
3860  39377   0.00892   19:55.4
3880  39617   0.00892   20:01.5
3900  39857   0.00892   20:07.8
3920  40097   0.00892   20:14.0
3940  40337   0.00892   20:20.2
3960  40577   0.00892   20:26.5
3980  40817   0.00892   20:32.7
4000  41057   0.00892   20:39.2
4020  41297   0.00892   20:45.8
4040  41537   0.00892   20:52.1
4060  41777   0.00892   20:58.4
4080  42017   0.00892   21:04.7
4100  42257   0.00892   21:11.5
4120  42497   0.00892   21:18.1
4140  42737   0.00892   21:24.7
4160  42977   0.00892   21:31.0
4180  43217   0.00892   21:37.8
4200  43457   0.00892   21:44.1
4220  43697   0.00892   21:50.7
4240  43937   0.00892   21:56.9
4245  43985   0.00892   21:58.2
