Iter. Eval.  Best      Time m:s
0     12      0.249      0:00.4
1     24      0.249      0:00.7
2     36      0.249      0:01.0
3     48      0.249      0:01.3
20    249     0.24903    0:06.3
40    442     0.238      0:12.3
60    666     0.235      0:18.1
80    840     0.229      0:23.8
100   1010    0.226      0:29.6
120   1202    0.224      0:35.6
140   1379    0.212965   0:41.7
160   1532    0.210342   0:47.8
180   1679    0.21       0:53.9
200   1813    0.21       1:00.0
220   1969    0.209501   1:06.1
240   2122    0.209      1:12.2
260   2280    0.209      1:18.3
280   2432    0.209      1:24.5
300   2575    0.209      1:30.6
320   2727    0.209      1:36.8
340   2841    0.209      1:42.7
360   2972    0.209      1:48.8
380   3103    0.209      1:54.8
400   3235    0.209      2:00.8
420   3363    0.209      2:06.9
440   3486    0.209      2:12.8
460   3618    0.208865   2:18.8
480   3741    0.209      2:24.8
500   3878    0.209      2:30.8
520   4021    0.209      2:36.8
540   4152    0.209      2:42.8
560   4290    0.208852   2:48.8
580   4433    0.209      2:54.8
600   4594    0.209      3:00.9
620   4769    0.209      3:07.0
640   4946    0.209      3:13.1
660   5156    0.207      3:19.5
680   5376    0.205      3:25.8
700   5573    0.205      3:32.0
720   5742    0.204383   3:38.4
740   5921    0.204      3:44.7
760   6073    0.204      3:51.0
780   6229    0.204      3:57.8
800   6380    0.204      4:04.2
820   6538    0.204      4:10.7
840   6692    0.204      4:16.9
860   6833    0.203      4:23.0
880   6979    0.203      4:29.2
900   7118    0.203      4:35.3
920   7258    0.203      4:41.3
940   7425    0.203      4:47.5
960   7587    0.203      4:53.8
980   7751    0.202032   5:00.0
1000  7936    0.201      5:06.2
1020  8117    0.201      5:12.5
1040  8302    0.2        5:18.8
1060  8500    0.199907   5:25.0
1080  8693    0.2        5:31.4
1100  8874    0.199      5:37.6
1120  9011    0.198      5:43.7
1140  9159    0.197      5:49.8
1160  9322    0.196      5:56.0
1180  9464    0.196      6:02.2
1200  9612    0.195      6:08.3
1220  9753    0.194888   6:14.5
1240  9905    0.194      6:20.6
1260  10043   0.193      6:26.8
1280  10230   0.189      6:33.0
1300  10427   0.189      6:39.2
