Iter. Eval.  Best      Time m:s
0     12      0.249      0:00.4
1     24      0.249      0:00.7
2     33      0.249      0:01.0
3     40      0.249      0:01.3
20    177     0.249      0:06.3
40    336     0.248      0:12.3
60    511     0.247      0:18.2
80    668     0.246      0:24.3
100   823     0.246      0:30.1
120   980     0.245      0:35.9
140   1148    0.244      0:41.7
160   1313    0.244      0:47.6
180   1477    0.243      0:53.6
200   1648    0.242      0:59.6
220   1802    0.241      1:05.5
240   1977    0.239      1:11.3
260   2160    0.236      1:17.3
280   2329    0.231      1:23.1
300   2477    0.227718   1:28.9
320   2630    0.227      1:34.7
340   2786    0.226      1:40.5
360   2918    0.226      1:46.3
380   3081    0.225837   1:52.1
400   3243    0.225      1:57.9
420   3395    0.224      2:04.0
440   3537    0.223      2:09.8
460   3701    0.221      2:15.5
480   3850    0.221      2:21.3
500   4055    0.221      2:27.1
520   4274    0.22       2:32.9
540   4487    0.22       2:38.8
560   4696    0.22       2:44.8
580   4902    0.218      2:50.7
600   5072    0.216      2:56.8
620   5229    0.211      3:02.7
640   5390    0.204062   3:08.8
660   5550    0.196      3:14.7
680   5690    0.176      3:20.5
700   5835    0.141      3:26.2
720   5992    0.136      3:32.1
740   6164    0.131      3:38.6
760   6327    0.129      3:44.8
780   6495    0.124      3:51.4
800   6673    0.113      3:57.7
820   6841    0.101      4:03.6
840   7009    0.0976     4:09.6
860   7194    0.0972     4:15.6
880   7396    0.096386   4:21.6
900   7599    0.095      4:27.7
920   7776    0.0929     4:33.7
940   7994    0.0855     4:39.9
960   8221    0.0822     4:46.0
980   8439    0.0816     4:52.1
1000  8666    0.0812     4:58.3
1020  8906    0.0799     5:04.5
1040  9134    0.0785     5:10.5
1060  9331    0.0773     5:16.7
1080  9563    0.0754     5:22.7
1100  9794    0.0661     5:28.8
1120  10028   0.0473     5:35.2
1140  10268   0.0436     5:41.6
1160  10508   0.0375     5:48.1
1180  10748   0.0342     5:54.4
1200  10988   0.0331     6:00.5
1220  11228   0.0318     6:06.9
1240  11468   0.0298     6:13.2
1260  11708   0.0284     6:19.3
1280  11939   0.0277     6:25.6
