Iter. Eval.  Best      Time m:s
0     12      0.249      0:00.4
1     23      0.249132   0:00.7
2     35      0.24911    0:01.0
3     47      0.249      0:01.3
20    211     0.249      0:06.4
40    396     0.249      0:12.2
60    563     0.249      0:18.0
80    718     0.249      0:23.7
100   878     0.249      0:29.6
120   1011    0.249      0:35.2
140   1162    0.249      0:41.0
160   1320    0.249      0:46.8
180   1474    0.249      0:52.5
200   1635    0.243      0:58.1
220   1782    0.242      1:03.9
240   1947    0.242      1:09.6
260   2105    0.241682   1:15.3
280   2275    0.241      1:21.0
300   2442    0.241      1:26.7
320   2604    0.239      1:32.5
340   2772    0.238      1:38.3
360   2938    0.237      1:44.0
380   3074    0.237      1:49.6
400   3243    0.236      1:55.2
420   3409    0.235      2:00.9
440   3583    0.231      2:06.6
460   3752    0.229      2:12.3
480   3899    0.227714   2:18.0
500   4063    0.224      2:23.7
520   4216    0.218      2:29.3
540   4380    0.216      2:35.1
560   4533    0.213      2:40.9
580   4687    0.213      2:46.8
600   4852    0.212276   2:52.7
620   5002    0.212      2:58.6
640   5151    0.212      3:04.6
660   5308    0.212137   3:10.5
680   5464    0.212      3:16.3
700   5615    0.212      3:22.4
720   5778    0.212      3:28.9
740   5937    0.211      3:35.0
760   6082    0.211      3:41.1
780   6230    0.211      3:47.4
800   6358    0.21       3:53.7
820   6512    0.208      3:59.6
840   6672    0.204      4:05.6
860   6867    0.203      4:11.7
880   7060    0.203      4:17.6
900   7234    0.201      4:23.5
920   7374    0.201053   4:29.4
940   7519    0.201      4:35.3
960   7675    0.2        4:41.4
980   7838    0.199996   4:47.4
1000  7983    0.199      4:53.3
1020  8145    0.198213   4:59.2
1040  8289    0.197      5:05.1
1060  8433    0.195331   5:11.0
1080  8604    0.194      5:17.0
1100  8790    0.19       5:23.1
1120  8975    0.188      5:29.1
1140  9150    0.185      5:35.1
1160  9331    0.183118   5:41.2
1180  9514    0.182      5:47.3
1200  9673    0.182      5:53.4
1220  9831    0.181344   5:59.3
1240  9989    0.181      6:05.3
1260  10125   0.181      6:11.3
1280  10276   0.181      6:17.2
1300  10404   0.181      6:23.1
1320  10543   0.180591   6:29.2
1340  10676   0.18       6:35.2
1360  10819   0.18       6:41.3
1380  10972   0.18       6:47.5
1400  11139   0.180094   6:53.5
1420  11287   0.179      6:59.4
1440  11447   0.179      7:05.5
1460  11605   0.177      7:11.6
1480  11768   0.175      7:18.0
1500  11915   0.173      7:24.0
1520  12049   0.169      7:29.9
1540  12186   0.16       7:35.8
