Iter. Eval.  Best      Time m:s
0     10      0.344      0:00.4
1     22      0.29       0:00.8
2     34      0.255745   0:01.1
3     42      0.25395    0:01.4
20    195     0.207      0:06.4
40    423     0.206      0:12.4
60    655     0.205      0:18.4
80    862     0.201808   0:24.3
100   1082    0.201808   0:30.1
120   1288    0.2        0:36.0
140   1475    0.187      0:41.8
160   1685    0.183      0:47.8
180   1866    0.181      0:53.6
200   2039    0.181      0:59.6
220   2213    0.18       1:05.4
240   2381    0.179      1:11.2
260   2549    0.178      1:17.2
280   2718    0.178      1:23.1
300   2879    0.176      1:29.0
320   3057    0.172      1:34.9
340   3250    0.171      1:40.9
360   3439    0.171      1:46.7
380   3633    0.171      1:52.6
400   3822    0.17       1:58.5
420   3996    0.169      2:04.4
440   4176    0.169      2:10.3
460   4337    0.168      2:16.2
480   4490    0.167      2:22.1
500   4659    0.166      2:28.0
520   4869    0.161      2:33.9
540   5082    0.151      2:39.9
560   5274    0.148      2:45.9
580   5456    0.145      2:52.1
600   5655    0.144      2:58.7
620   5839    0.139      3:04.7
640   6020    0.133      3:10.8
660   6206    0.126      3:17.3
680   6386    0.117      3:23.4
700   6566    0.108      3:29.6
720   6783    0.0937     3:36.0
740   6969    0.0865     3:42.1
760   7162    0.0813     3:48.2
780   7384    0.0762     3:54.2
800   7600    0.0743     4:00.2
820   7825    0.0731     4:06.4
840   8037    0.0729     4:12.4
860   8248    0.0728     4:18.4
880   8438    0.0727     4:24.3
900   8640    0.0723     4:30.4
920   8831    0.0722     4:36.5
940   8978    0.072      4:42.5
960   9150    0.0719     4:48.6
980   9334    0.0711     4:54.7
1000  9524    0.0685     5:00.7
1020  9728    0.0621     5:06.7
1040  9961    0.0523     5:12.9
1060  10176   0.0479     5:19.3
1080  10384   0.0453     5:25.4
1100  10615   0.0438     5:31.6
1120  10821   0.0432     5:37.9
1140  11039   0.0421     5:44.0
1160  11236   0.041      5:50.4
1180  11438   0.0399     5:56.8
1200  11641   0.0389     6:03.4
1220  11852   0.0372     6:09.7
1240  12081   0.0354     6:16.2
1260  12290   0.0343     6:22.7
1280  12477   0.0329     6:29.4
1300  12656   0.0307     6:35.6
1320  12858   0.0261     6:41.7
1340  13068   0.0243     6:48.5
1360  13284   0.0228     6:54.7
1380  13464   0.0224     7:00.9
1400  13673   0.0221     7:07.2
1420  13874   0.022      7:13.5
1440  14105   0.0219     7:19.9
1460  14341   0.0219     7:26.3
1480  14559   0.0218     7:32.6
1500  14793   0.0214     7:39.0
1520  15024   0.0201     7:45.3
1540  15264   0.0189     7:51.7
1560  15504   0.0178     7:58.1
1580  15744   0.0171     8:04.5
1600  15984   0.0163     8:10.8
1620  16223   0.0157     8:17.2
1640  16439   0.0155     8:23.4
1660  16645   0.0154     8:29.6
1680  16844   0.0154     8:36.0
1700  17030   0.0153     8:42.3
1720  17204   0.0153     8:48.5
1740  17380   0.0153     8:54.8
1760  17579   0.0153     9:01.9
1780  17764   0.0153     9:08.3
1800  17949   0.0153     9:14.9
1820  18123   0.0153     9:21.1
1840  18294   0.0153     9:27.3
1860  18466   0.0153     9:33.9
1880  18644   0.0153     9:40.3
1900  18817   0.0153     9:46.6
1920  18990   0.0153     9:53.0
1940  19180   0.0153     9:59.2
1960  19389   0.0153    10:05.8
1980  19599   0.0153    10:12.0
2000  19807   0.0153    10:18.2
2020  20023   0.0153    10:24.3
2040  20249   0.0153    10:30.3
2060  20467   0.0153    10:36.5
2080  20687   0.0153    10:42.8
2100  20899   0.0153    10:48.9
2120  21131   0.0153    10:55.1
2140  21356   0.0153    11:01.3
2160  21586   0.0153    11:07.4
2180  21824   0.0153    11:13.7
2200  22042   0.0153    11:20.0
2220  22280   0.0153    11:26.2
2240  22505   0.0153    11:32.4
2260  22741   0.0153    11:38.6
2280  22970   0.0153    11:45.0
2300  23188   0.0153    11:51.2
2320  23412   0.0153    11:57.8
2340  23642   0.0153    12:04.3
2360  23881   0.0153    12:10.6
2380  24111   0.0153    12:17.3
2400  24330   0.0153    12:24.0
2420  24557   0.0153    12:30.3
2440  24797   0.0153    12:36.8
2460  25037   0.0153    12:43.3
2480  25277   0.0153    12:49.4
2500  25517   0.0153    12:55.8
2520  25733   0.0153    13:02.0
2540  25970   0.0153    13:08.2
2560  26210   0.0153    13:14.2
2580  26450   0.0153    13:20.2
2600  26690   0.0153    13:26.1
2620  26930   0.0153    13:32.3
2640  27170   0.0153    13:38.4
2660  27410   0.0153    13:44.5
2680  27650   0.0153    13:50.6
2682  27662   0.0153    13:50.9
