Iter. Eval.  Best      Time m:s
0     12      0.249      0:00.4
1     24      0.249      0:00.8
2     36      0.249      0:01.1
3     48      0.249      0:01.4
20    188     0.248      0:06.4
40    347     0.225907   0:12.3
60    507     0.206      0:18.3
80    678     0.204      0:24.1
100   890     0.204      0:30.2
120   1115    0.203      0:36.2
140   1354    0.202      0:42.2
160   1586    0.201398   0:48.1
180   1790    0.200122   0:54.2
200   1963    0.198      1:00.1
220   2154    0.196      1:06.1
240   2326    0.192946   1:12.0
260   2497    0.188      1:18.0
280   2697    0.184      1:24.0
300   2905    0.183      1:30.0
320   3120    0.183      1:35.9
340   3346    0.183      1:41.8
360   3542    0.183      1:47.9
380   3739    0.182384   1:53.9
400   3908    0.182      1:59.7
420   4079    0.182      2:05.7
440   4253    0.181      2:11.6
460   4410    0.18       2:17.4
480   4594    0.179      2:23.3
500   4755    0.178      2:29.1
520   4915    0.177      2:35.0
540   5095    0.173      2:41.0
560   5272    0.17       2:46.8
580   5427    0.167      2:52.8
600   5575    0.166      2:58.7
620   5743    0.165      3:04.9
640   5899    0.165      3:11.1
660   6041    0.164785   3:17.4
680   6183    0.165      3:24.0
700   6335    0.165      3:30.2
720   6451    0.164419   3:36.2
740   6601    0.164      3:42.1
760   6766    0.164      3:48.0
780   6905    0.163      3:53.9
800   7060    0.163      3:59.8
820   7213    0.162      4:05.8
840   7390    0.159      4:11.6
860   7543    0.157      4:17.5
880   7705    0.153      4:23.4
900   7839    0.147      4:29.3
920   7961    0.145      4:34.8
940   8090    0.144      4:41.0
960   8245    0.143037   4:47.5
980   8395    0.142      4:53.4
1000  8526    0.139774   4:59.3
1020  8678    0.137      5:05.3
1040  8821    0.133      5:11.3
1060  8982    0.129      5:17.6
1080  9143    0.125      5:23.7
1100  9329    0.122      5:30.0
1120  9532    0.117      5:36.1
1140  9731    0.114964   5:42.3
1160  9908    0.114      5:48.4
1180  10086   0.114      5:54.6
1200  10258   0.113      6:00.8
1220  10425   0.113      6:06.9
1240  10582   0.113      6:13.1
1260  10726   0.112      6:19.3
1280  10871   0.112      6:25.5
1300  10991   0.112      6:31.6
1320  11122   0.111956   6:37.9
1340  11250   0.111935   6:44.1
1360  11375   0.112      6:50.5
1380  11499   0.112      6:56.7
1400  11637   0.112      7:03.0
1420  11778   0.111      7:09.5
1440  11925   0.111      7:15.7
1460  12088   0.111      7:22.5
1480  12257   0.109      7:29.0
1500  12460   0.0969     7:35.5
1520  12648   0.0843     7:41.7
1540  12838   0.082      7:47.9
1560  13065   0.0814     7:54.0
1580  13292   0.0807     8:00.4
1600  13511   0.0803     8:06.5
1620  13713   0.0797     8:12.6
1640  13909   0.0792     8:18.8
1660  14101   0.0781     8:24.9
1680  14309   0.0767     8:31.0
1700  14522   0.0746     8:37.1
1720  14691   0.072      8:43.2
1740  14903   0.0578     8:49.2
1760  15109   0.0533     8:55.4
1780  15315   0.0492     9:01.5
1800  15520   0.0472     9:07.6
1820  15705   0.0462     9:13.6
1840  15885   0.0454     9:20.1
1860  16069   0.0441     9:26.3
1880  16266   0.0435     9:32.3
1900  16481   0.0428     9:38.4
1920  16675   0.0424     9:44.4
1940  16871   0.0421     9:50.8
1960  17065   0.0419     9:56.9
1980  17258   0.0419    10:03.2
2000  17470   0.0419    10:09.5
2020  17660   0.0419    10:15.6
2040  17845   0.0419    10:21.9
2060  18053   0.0419    10:28.3
2080  18259   0.0418    10:35.3
2100  18450   0.0418    10:41.8
2120  18661   0.0417    10:48.1
2140  18863   0.0417    10:54.4
2160  19046   0.0417    11:00.5
2180  19237   0.0417    11:06.8
2200  19417   0.0417    11:12.9
2220  19586   0.0417    11:18.9
2240  19759   0.0417    11:25.0
2260  19929   0.0417    11:31.0
2280  20093   0.0417    11:37.1
2300  20315   0.0417    11:43.1
2320  20553   0.0417    11:49.2
2340  20791   0.0417    11:55.4
2360  21031   0.0417    12:01.6
2380  21271   0.0417    12:07.9
2400  21511   0.0417    12:14.1
2420  21751   0.0417    12:20.3
2440  21991   0.0417    12:26.6
2460  22231   0.0417    12:32.9
2480  22471   0.0417    12:39.1
2500  22711   0.0417    12:45.3
2520  22951   0.0417    12:51.7
2540  23191   0.0417    12:58.0
2560  23431   0.0417    13:04.3
2567  23503   0.0417    13:06.2
