Iter. Eval.  Best      Time m:s
0     12      0.22       0:00.4
1     24      0.213      0:00.8
2     36      0.211      0:01.1
3     47      0.21       0:01.4
20    219     0.186      0:06.6
40    439     0.172      0:12.9
60    660     0.172      0:19.0
80    886     0.172      0:25.1
100   1113    0.171      0:31.1
120   1327    0.17       0:37.1
140   1538    0.168      0:43.2
160   1744    0.167      0:49.3
180   1960    0.164      0:55.4
200   2170    0.162      1:01.6
220   2401    0.16064    1:07.8
240   2641    0.16       1:13.9
260   2881    0.157      1:20.0
280   3096    0.139      1:26.1
300   3222    0.11       1:32.1
320   3369    0.105      1:38.2
340   3544    0.0974     1:44.4
360   3737    0.0907     1:50.4
380   3941    0.0874     1:56.5
400   4146    0.0845     2:02.6
420   4373    0.0832     2:08.8
440   4577    0.0827     2:14.9
460   4812    0.0824     2:21.1
480   5040    0.0815     2:27.3
500   5241    0.0808     2:33.5
520   5431    0.0801     2:39.5
540   5619    0.0792     2:46.1
560   5844    0.0758     2:52.6
580   6084    0.0738     2:59.0
600   6324    0.0718     3:05.7
620   6548    0.0677     3:12.5
640   6770    0.0646     3:18.8
660   7002    0.0585     3:25.0
680   7215    0.0523     3:31.2
700   7425    0.0485     3:37.5
720   7657    0.046      3:43.5
740   7878    0.0428     3:49.7
760   8097    0.0385     3:55.9
780   8322    0.0363     4:02.1
800   8562    0.0344     4:08.4
820   8802    0.0338     4:14.6
840   9042    0.0331     4:21.0
860   9282    0.0322     4:27.2
880   9489    0.0317     4:33.3
900   9681    0.0315     4:39.6
920   9893    0.0308     4:45.9
940   10128   0.0295     4:52.2
960   10363   0.0283     4:58.6
980   10603   0.0271     5:05.1
1000  10839   0.0259     5:11.4
1020  11059   0.0254     5:17.7
1040  11255   0.0249     5:23.9
1060  11449   0.0244     5:30.5
1080  11653   0.0238     5:37.0
1100  11838   0.0236     5:43.5
1120  12039   0.0234     5:50.1
1140  12256   0.0229     5:56.5
1160  12491   0.0225     6:03.4
1180  12730   0.0224     6:09.8
1200  12970   0.0223     6:16.1
1220  13210   0.0223     6:22.7
1240  13450   0.0223     6:28.9
1260  13690   0.0223     6:35.2
1280  13930   0.0223     6:41.4
1300  14170   0.0223     6:47.6
1320  14410   0.0223     6:53.9
1340  14619   0.0223     7:00.1
1360  14797   0.0223     7:06.2
1380  14981   0.0223     7:12.4
1400  15153   0.0223     7:18.6
1420  15321   0.0223     7:24.8
1440  15503   0.0223     7:31.1
1460  15691   0.0223     7:37.2
1480  15879   0.0223     7:43.4
1500  16090   0.0223     7:49.7
1520  16293   0.0223     7:56.0
1540  16505   0.0223     8:02.1
1560  16743   0.0223     8:08.4
1580  16979   0.0223     8:14.7
1600  17194   0.0223     8:21.1
1620  17421   0.0223     8:27.4
1640  17637   0.0223     8:33.9
1660  17860   0.0223     8:40.7
1680  18096   0.0223     8:47.6
1700  18333   0.0223     8:54.3
1720  18573   0.0223     9:00.8
1740  18805   0.0223     9:07.4
1760  19022   0.0223     9:13.7
1780  19262   0.0223     9:19.9
1800  19502   0.0223     9:26.2
1820  19742   0.0223     9:32.4
1840  19982   0.0223     9:38.8
1860  20216   0.0223     9:45.0
1880  20455   0.0223     9:51.4
1900  20682   0.0223     9:57.6
1920  20910   0.0223    10:03.8
1940  21149   0.0223    10:10.1
1960  21389   0.0223    10:16.3
1980  21629   0.0223    10:22.6
2000  21869   0.0223    10:28.8
2020  22109   0.0223    10:35.0
2040  22349   0.0223    10:41.2
2060  22589   0.0223    10:47.3
2080  22829   0.0223    10:53.4
2100  23069   0.0223    10:59.7
2117  23261   0.0223    11:04.9
