Iter. Eval.  Best      Time m:s
0     8       12.15516   0:00.4
1     18      8.621196   0:00.7
2     26      4.388107   0:01.0
3     34      4.388107   0:01.5
20    144     0.246      0:06.5
40    322     0.24       0:12.3
60    502     0.24       0:18.1
80    690     0.24       0:24.0
100   893     0.24       0:29.8
120   1070    0.24       0:35.5
140   1252    0.24       0:41.2
160   1413    0.24       0:47.0
180   1609    0.24       0:52.7
200   1805    0.239      0:58.5
220   1999    0.233      1:04.2
240   2193    0.227      1:10.0
260   2396    0.224      1:16.0
280   2594    0.222      1:21.8
300   2809    0.22       1:27.6
320   3001    0.218      1:33.7
340   3202    0.216      1:39.6
360   3386    0.211      1:45.6
380   3567    0.21       1:51.6
400   3736    0.209      1:57.6
420   3917    0.209      2:03.5
440   4097    0.209      2:09.5
460   4272    0.208      2:15.6
480   4437    0.208      2:21.6
500   4596    0.207      2:27.5
520   4750    0.207      2:33.5
540   4888    0.206      2:39.4
560   5038    0.206      2:45.5
580   5214    0.204675   2:51.5
600   5380    0.201      2:57.4
620   5534    0.201      3:03.2
640   5677    0.2        3:09.1
660   5828    0.2        3:15.3
680   5982    0.199      3:21.8
700   6116    0.198      3:27.8
720   6260    0.196      3:33.9
740   6405    0.194      3:39.7
760   6550    0.191915   3:45.6
780   6709    0.192      3:51.5
800   6862    0.191      3:57.5
820   7021    0.191      4:03.5
840   7194    0.19       4:09.3
860   7346    0.19       4:15.2
880   7512    0.19       4:21.1
900   7679    0.19       4:27.0
920   7827    0.188      4:33.0
940   7978    0.184873   4:38.9
960   8165    0.182      4:45.0
980   8322    0.181      4:50.9
1000  8510    0.178      4:56.9
1020  8738    0.176      5:03.0
1040  8962    0.174      5:09.0
1060  9195    0.173      5:15.1
1080  9426    0.170427   5:21.2
1100  9607    0.17       5:27.3
1120  9799    0.168      5:33.4
1140  9959    0.168      5:39.5
1160  10128   0.166      5:45.5
1180  10322   0.163      5:51.7
1200  10509   0.154      5:58.1
1220  10722   0.152      6:04.3
1240  10952   0.151      6:10.6
1260  11159   0.151      6:16.9
1280  11335   0.151      6:23.1
1300  11521   0.151      6:29.7
1320  11692   0.151      6:35.9
1340  11869   0.151      6:42.5
1360  12047   0.151      6:49.1
1380  12250   0.15       6:55.5
1400  12449   0.15       7:01.9
1420  12662   0.149      7:08.5
1440  12896   0.149      7:15.2
1460  13125   0.149      7:21.5
1480  13353   0.148      7:27.9
1500  13551   0.147      7:34.0
1520  13745   0.146      7:40.2
1540  13973   0.143      7:46.5
1560  14170   0.14       7:52.7
1580  14353   0.138      7:59.0
1600  14515   0.135      8:05.2
1620  14710   0.127      8:11.5
1640  14940   0.116      8:18.1
1660  15144   0.112      8:24.3
1680  15335   0.107      8:30.4
1700  15515   0.102402   8:36.6
1720  15693   0.0999     8:42.9
1740  15878   0.0933     8:49.0
1760  16063   0.0861     8:55.5
1780  16246   0.0834     9:01.9
1800  16426   0.0811     9:08.1
1820  16609   0.0801     9:14.2
1840  16804   0.0797     9:20.4
1860  17001   0.0779     9:26.7
1880  17192   0.0752     9:33.0
1900  17367   0.0728     9:39.1
1920  17534   0.0723     9:45.2
1940  17705   0.0721     9:51.6
1960  17882   0.0718     9:57.9
1980  18055   0.0714    10:04.6
2000  18235   0.0692    10:10.9
2020  18449   0.0644    10:17.5
2040  18680   0.0629    10:24.4
2060  18900   0.0618    10:30.8
2080  19093   0.0614    10:37.4
2100  19315   0.0609    10:43.7
2120  19530   0.0601    10:49.9
2140  19757   0.0584    10:56.1
2160  19997   0.0439    11:02.5
2180  20237   0.0387    11:09.1
2200  20477   0.0332    11:15.4
2220  20717   0.0299    11:21.8
2240  20957   0.0291    11:28.2
2260  21197   0.0283    11:34.6
2280  21437   0.0277    11:40.9
2300  21677   0.0271    11:47.2
2320  21917   0.0262    11:53.5
2340  22157   0.0233    11:59.9
2360  22397   0.0196    12:06.1
2380  22637   0.0174    12:12.7
2400  22877   0.0167    12:19.1
2420  23117   0.0163    12:25.8
2440  23357   0.0161    12:32.5
2460  23597   0.0159    12:39.3
2480  23837   0.0157    12:45.9
2500  24073   0.0155    12:52.7
2520  24285   0.0153    12:59.3
2540  24485   0.0153    13:05.5
2560  24673   0.0153    13:11.8
2580  24848   0.0153    13:18.0
2600  25028   0.0153    13:24.0
2620  25208   0.0153    13:30.5
2640  25368   0.0153    13:36.6
2660  25534   0.0153    13:42.7
2680  25709   0.0153    13:49.0
2700  25882   0.0153    13:55.2
2720  26057   0.0153    14:01.2
2740  26252   0.0153    14:07.4
2760  26438   0.0153    14:13.6
2780  26618   0.0153    14:19.7
2800  26819   0.0153    14:25.9
2820  27029   0.0153    14:32.1
2840  27250   0.0153    14:38.4
2860  27470   0.0153    14:44.6
2880  27710   0.0153    14:50.7
2900  27935   0.0153    14:56.8
2920  28172   0.0153    15:03.1
2940  28411   0.0153    15:09.4
2960  28630   0.0153    15:15.6
2980  28868   0.0153    15:21.9
3000  29105   0.0153    15:28.6
3020  29339   0.0153    15:34.9
3040  29571   0.0153    15:41.2
3060  29801   0.0153    15:47.5
3080  30038   0.0153    15:54.1
3100  30273   0.0153    16:00.8
3120  30513   0.0153    16:07.4
3140  30746   0.0153    16:13.9
3160  30974   0.0153    16:20.7
3180  31214   0.0153    16:27.2
3196  31394   0.0153    16:31.8
